time,open,high,low,close
1732053600.001,92250,92400,92250,92400
1732060800,92250,92250,92100,92100
1732064400,92100,92100,91950,91950
1732075200,92100,92250,92100,92250
1732075200.001,92250,92400,92250,92400
1732075200.002,92400,92550,92400,92550
1732082400,92550,92700,92550,92700
1732082400.001,92700,92850,92700,92850
1732086000,92850,93000,92850,93000
1732086000.001,93000,93150,93000,93150
1732086000.002,93150,93300,93150,93300
1732096800,93300,93450,93300,93450
1732100400,93450,93600,93450,93600
1732104000,93600,93750,93600,93750
1732104000.001,93750,93900,93750,93900
1732104000.002,93900,94050,93900,94050
1732104000.003,94050,94200,94050,94200
1732104000.004,94200,94350,94200,94350
1732104000.005,94350,94500,94350,94500
1732107600,94500,94650,94500,94650
1732111200,94650,94800,94650,94800
1732114800,94650,94650,94500,94500
1732114800.001,94500,94500,94350,94350
1732118400,94350,94350,94200,94200
1732122000,94200,94200,94050,94050
1732122000.001,94050,94050,93900,93900
1732129200,94050,94200,94050,94200
1732129200.001,94200,94350,94200,94350
1732143600,94350,94500,94350,94500
1732143600.001,94500,94650,94500,94650
1732143600.002,94650,94800,94650,94800
1732150800,94650,94815,94500,94500
1732154400,94650,94800,94650,94800
1732154400.001,94800,94950,94800,94950
1732154400.002,94950,95100,94950,95100
1732154400.003,95100,95250,95100,95250
1732154400.004,95250,95400,95250,95400
1732154400.005,95400,95550,95400,95550
1732154400.006,95550,95700,95550,95700
1732154400.007,95700,95850,95700,95850
1732158000,95850,96000,95850,96000
1732158000.001,96000,96150,96000,96150
1732158000.002,96150,96300,96150,96300
1732158000.003,96300,96450,96300,96450
1732158000.004,96450,96600,96450,96600
1732158000.005,96600,96750,96600,96750
1732158000.006,96750,96900,96750,96900
1732158000.007,96900,97050,96900,97050
1732158000.008,97050,97200,97050,97200
1732158000.009,97200,97350,97200,97350
1732158000.01,97350,97500,97350,97500
1732165200,97350,97350,97200,97200
1732168800,97200,97200,97050,97050
1732176000,97200,97350,97200,97350
1732176000.001,97350,97500,97350,97500
1732179600,97500,97650,97500,97650
1732183200,97650,97800,97650,97800
1732183200.001,97800,97950,97800,97950
1732186800,97800,97800,97650,97650
1732186800.001,97650,97650,97500,97500
1732186800.002,97500,97500,97350,97350
1732194000,97350,97550.25,97200,97200
1732197600,97200,97200,97050,97050
1732197600.001,97050,97050,96900,96900
1732197600.002,96900,96900,96750,96750
1732201200,96900,97050,96900,97050
1732201200.001,97050,97200,97050,97200
1732204800,97200,97350,97200,97350
1732204800.001,97350,97500,97350,97500
1732204800.002,97500,97650,97500,97650
1732204800.003,97650,97800,97650,97800
1732204800.004,97800,97950,97800,97950
1732204800.005,97950,98100,97950,98100
1732208400,98100,98250,98100,98250
1732212000,98100,98100,97950,97950
1732215600,98100,98250,98100,98250
1732222800,98250,98400,98087.25,98400
1732237200,98400,98550,98127.25,98550
1732237200.001,98550,98700,98550,98700
1732240800,98700,98850,98700,98850
1732251600,98850,99000,98850,99000
1732255200,99000,99150,99000,99150
1732262400,99000,99000,98850,98850
1732266000,98850,98850,98700,98700
1732266000.001,98700,98700,98550,98550
1732269600,98700,98850,98700,98850
1732276800,98700,98700,98550,98550
1732276800.001,98550,98550,98400,98400
1732276800.002,98400,98400,98250,98250
1732276800.003,98250,98250,98100,98100
1732276800.004,98100,98100,97950,97950
1732280400,97950,97950,97800,97800
1732280400.001,97800,97800,97650,97650
1732280400.002,97650,97650,97500,97500
1732284000,97650,97800,97650,97800
1732284000.001,97800,97950,97800,97950
1732284000.002,97950,98100,97950,98100
1732284000.003,98100,98250,98100,98250
1732284000.004,98250,98400,98250,98400
1732284000.005,98400,98550,98400,98550
1732284000.006,98550,98700,98550,98700
1732287600,98700,98850,98700,98850
1732294800,98850,99000,98850,99000
1732294800.001,99000,99150,99000,99150
1732305600,99150,99300,99150,99300
1732309200,99150,99150,99000,99000
1732309200.001,99000,99000,98850,98850
1732323600,98850,99002.25,98700,98700
1732348800,98700,98865.5,98550,98550
1732366800,98700,98850,98537,98850
1732374000,98700,98700,98550,98550
1732374000.001,98550,98550,98400,98400
1732374000.002,98400,98400,98250,98250
1732374000.003,98250,98250,98100,98100
1732374000.004,98100,98100,97950,97950
1732384800,97950,97950,97800,97800
1732406400,97950,98100,97748.5,98100
1732406400.001,98100,98250,98100,98250
1732410000,98250,98400,98250,98400
1732435200,98250,98500,98100,98100
1732438800,98100,98100,97950,97950
1732442400,97950,97950,97800,97800
1732442400.001,97800,97800,97650,97650
1732442400.002,97650,97650,97500,97500
1732446000,97500,97500,97350,97350
1732446000.001,97350,97350,97200,97200
1732446000.002,97200,97200,97050,97050
1732456800,97050,97324.75,96900,96900
1732456800.001,96900,96900,96750,96750
1732456800.002,96750,96750,96600,96600
1732456800.003,96600,96600,96450,96450
1732456800.004,96450,96450,96300,96300
1732456800.005,96300,96300,96150,96150
1732460400,96300,96450,96300,96450
1732464000,96300,96300,96150,96150
1732464000.001,96150,96150,96000,96000
1732467600,96150,96300,96150,96300
1732467600.001,96300,96450,96300,96450
1732474800,96450,96600,96450,96600
1732474800.001,96600,96750,96600,96750
1732474800.002,96750,96900,96750,96900
