time,open,high,low,close,Long Entry,Short Entry,Renko ADX(14) [1],Vol Ratio,PSAR dir [1],Vel Ratio [1],Vel SMA,Brick TD (s),ET Time,Force Close,Entry Cutoff,Long Entry,Short Entry,Renko ADX(14) [1],Vol Ratio,PSAR dir [1],ET Time,Force Close,Entry Cutoff
1674055800,34020,34020,33978,33978,0,0,35.38696086418045,1.007038469133173,-1,0.3205124640307688,15012.000012499999,82800,10.5,0,0,0,0,35.38696086418045,1.007038469133173,-1,10.5,0,0
1674055800.001,33978,33978,33936,33936,0,0,34.04888944307531,1.0063638728421502,-1,5.515587525383371,14832.0000625,0.001,10.5,0,0,0,0,34.04888944307531,1.0063638728421502,-1,10.5,0,0
1674055800.002,33936,33936,33894,33894,0,0,33.23166798568748,1.0057543021288935,-1,6.742179043865548e-8,14832.0000625,0.001,10.5,0,0,0,0,33.23166798568748,1.0057543021288935,-1,10.5,0,0
1674055800.003,33894,33894,33852,33852,0,0,32.867710939734614,1.005203421729881,-1,6.742179043865548e-8,12888.0001275,0.001,10.5,0,0,0,0,32.867710939734614,1.005203421729881,-1,10.5,0,0
1674055800.004,33852,33852,33810,33810,0,0,32.89643116557329,1.0047055258665072,-1,7.759155727087807e-8,12888.0001275,0.001,10.5,0,0,0,0,32.89643116557329,1.0047055258665072,-1,10.5,0,0
1674055800.005,33810,33810,33768,33768,0,0,33.26358488642347,1.0042554734753624,-1,7.759155727087807e-8,12708.000227499999,0.001,10.5,0,0,0,0,33.26358488642347,1.0042554734753624,-1,10.5,0,0
1674055800.006,33768,33768,33726,33726,0,0,33.92067452483292,1.0038486305019927,-1,7.869058719687532e-8,12528.0002775,0.001,10.5,0,0,0,0,33.92067452483292,1.0038486305019927,-1,10.5,0,0
1674059400,33726,33726,33684,33684,0,0,34.82440449609573,0.6124241634120864,-1,7.982119874278556e-8,12707.9999275,3599.994,11.5,0,0,0,0,34.82440449609573,0.6124241634120864,-1,11.5,0,0
1674059400.001,33684,33684,33642,33642,0,0,35.936185438448426,0.6358963599542262,-1,0.2832856484528022,12707.9999275,0.001,11.5,0,0,0,0,35.936185438448426,0.6358963599542262,-1,11.5,0,0
1674063000,33642,33642,33600,33600,0,0,37.221682735645615,0.9667346201333046,-1,7.869058905453791e-8,12707.9999775,3599.999,12.5,0,0,0,0,37.221682735645615,0.9667346201333046,-1,12.5,0,0
1674070200,33600,33600,33558,33558,0,0,38.65040553264362,0.7162837312966585,-1,0.2832860407911501,10448.9999925,7200,14.5,0,0,0,0,38.65040553264362,0.7162837312966585,-1,14.5,0,0
1674070200.001,33558,33558,33516,33516,0,0,40.195332762061106,0.7361756365061668,-1,0.6890611546720221,10269.0000425,0.001,14.5,0,0,0,0,40.195332762061106,0.7361756365061668,-1,14.5,0,0
1674073800,33516,33516,33474,33474,0,0,41.83257299010989,0.47247897540248623,-1,9.73804650755994e-8,5400.000000000001,3599.999,15.5,0,1,0,0,41.83257299010989,0.47247897540248623,-1,15.5,0,1
1674073800.001,33474,33474,33432,33432,0,0,43.541055157885076,0.49747201813738395,-1,0.6666664814814813,5400,0.001,15.5,0,1,0,0,43.541055157885076,0.49747201813738395,-1,15.5,0,1
1674073800.002,33432,33432,33390,33390,0,0,45.302247539194035,0.5224777004592914,-1,1.8518518518518518e-7,5220.000100000001,0.001,15.5,0,1,0,0,45.302247539194035,0.5224777004592914,-1,15.5,0,1
1674138600,33390,33390,33348,33348,0,0,47.09990246125616,0.8405605891673753,-1,1.915708775561134e-7,6489.000042499999,25379.999850000004,9.5,0,0,0,0,47.09990246125616,0.8405605891673753,-1,9.5,0,0
1674138600.001,33348,33348,33306,33306,0,0,48.91982454124809,0.8535210552804375,-1,3.9112343479384415,6489.000042499998,0.001,9.5,0,0,0,0,48.91982454124809,0.8535210552804375,-1,9.5,0,0
1674138600.002,33306,33306,33264,33264,0,0,50.749660381298945,0.8655964509652362,-1,1.5410694921412468e-7,6489.000042499998,0.001,9.5,0,0,0,0,50.749660381298945,0.8655964509652362,-1,9.5,0,0
1674138600.003,33264,33264,33222,33222,0,1,52.57870783853458,0.8768200438951722,-1,1.5410694921412468e-7,6489.000042499998,0.001,9.5,0,0,0,1,52.57870783853458,0.8768200438951722,-1,9.5,0,0
1674142200,33222,33222,33180,33180,0,0,54.39774314639722,1.758011894771957,-1,1.5410694921412468e-7,6489.000092499997,3599.997,10.5,0,0,0,0,54.39774314639722,1.758011894771957,-1,10.5,0,0
1674153000,33222,33264,33141,33264,0,0,56.198864309891704,2.737407680762461,-1,0.5547845505751935,2889.000092499997,10800,13.5,0,0,0,0,56.198864309891704,2.737407680762461,-1,13.5,0,0
1674160200,33222,33222,33180,33180,0,0,56.95491854675131,1.681804202876293,-1,3.7383176373158977,3249.000042499997,7200,15.5,0,1,0,0,56.95491854675131,1.681804202876293,-1,15.5,0,1
1674228600,33222,33264,33170,33264,0,0,57.65696890954951,1.579484007881314,-1,2.2160664530062117,4544.999977499997,25919.999699999997,10.5,0,0,0,0,57.65696890954951,1.579484007881314,-1,10.5,0,0
1674228600.001,33264,33306,33264,33306,0,0,57.39746823741181,1.496873145983736,-1,5.702970259255632,4544.999977499997,0.001,10.5,0,0,0,0,57.39746823741181,1.496873145983736,-1,10.5,0,0
1674235800,33264,33264,33222,33222,0,0,56.31907566942611,1.4240779481268662,1,2.20022003289438e-7,4904.999877499997,7199.999,12.5,0,0,0,0,56.31907566942611,1.4240779481268662,1,12.5,0,0
1674239400,33264,33306,33264,33306,0,0,55.629961704898555,0.7238511982624665,1,1.4678897410431189,5084.999827499996,3600,13.5,0,0,0,0,55.629961704898555,0.7238511982624665,1,13.5,0,0
1674243000,33306,33348,33306,33348,0,0,54.19976526175291,0.4534128625391123,1,0.7079646257864112,5264.9997774999965,3600,14.5,0,0,0,0,54.19976526175291,0.4534128625391123,1,14.5,0,0
1674243000.001,33348,33390,33348,33390,0,0,52.14395430990394,0.47831182353327917,1,0.6837607126565548,5085.000127499997,0.001,14.5,0,0,0,0,52.14395430990394,0.47831182353327917,1,14.5,0,0
1674246600,33390,33432,33390,33432,0,0,49.564381756579344,0.9000176774261608,1,1.9665682889405211e-7,5265.0000275,3599.999,15.5,0,1,0,0,49.564381756579344,0.9000176774261608,1,15.5,0,1
1674484200,33432,33474,33432,33474,0,0,46.550778670330644,0.5794005352219326,1,0.6837604902557619,8244.000077499999,63180,9.5,0,0,0,0,46.550778670330644,0.5794005352219326,1,9.5,0,0
1674484200.001,33474,33516,33474,33516,0,0,43.26936422126994,0.6035781194100883,1,7.663755386470035,7884.000127499999,0.001,9.5,0,0,0,0,43.26936422126994,0.6035781194100883,1,9.5,0,0
1674484200.002,33516,33558,33516,33558,0,0,40.74872718845013,0.6272599844238108,1,1.2683916588381615e-7,7884.000127499999,0.001,9.5,0,0,0,0,40.74872718845013,0.6272599844238108,1,9.5,0,0
1674484200.003,33558,33600,33558,33600,0,0,38.894174050433065,0.650346672898685,1,1.2683916588381615e-7,7704.000227499999,0.001,9.5,0,0,0,0,38.894174050433065,0.650346672898685,1,9.5,0,0
1674484200.004,33600,33642,33600,33642,0,0,37.62105594401518,0.6727494425060956,1,1.298026960630694e-7,7704.000227499999,0.001,9.5,0,0,0,0,37.62105594401518,0.6727494425060956,1,9.5,0,0
1674487800,33642,33684,33642,33684,0,0,36.85375793560765,0.6309245413647624,1,1.298026960630694e-7,7883.999977499998,3599.996,10.5,0,0,0,0,36.85375793560765,0.6309245413647624,1,10.5,0,0
1674487800.001,33684,33726,33684,33726,0,0,36.524790390872575,0.6539094884461131,1,0.4566204985126791,6615.000034999997,0.001,10.5,0,0,0,0,36.524790390872575,0.6539094884461131,1,10.5,0,0
1674487800.002,33726,33768,33726,33768,0,0,36.573971600790955,0.6761976395886627,1,1.5117157894315875e-7,6615.000034999997,0.001,10.5,0,0,0,0,36.573971600790955,0.6761976395886627,1,10.5,0,0
1674502200,33726,33802,33684,33684,0,0,36.94769208377133,3.386429063864522,1,1.5117157894315875e-7,7334.999884999999,14399.998,14.5,0,0,0,0,36.94769208377133,3.386429063864522,1,14.5,0,0
1674581400,33726,33768,33656,33768,0,0,36.55507189886716,4.3536382650451335,1,1.9631899421631689,10655.999812499998,66419.99955000001,12.5,0,0,0,0,36.55507189886716,4.3536382650451335,1,12.5,0,0
1674588600,33768,33810,33768,33810,0,0,35.722766353351346,0.7771543251047166,1,6.233108175554411,10835.9999625,7200,14.5,0,0,0,0,35.722766353351346,0.7771543251047166,1,14.5,0,0
1674592200,33810,33852,33810,33852,0,0,35.34941224944937,0.7373941825714401,1,0.6644518295419845,10475.9999625,3600,15.5,0,1,0,0,35.34941224944937,0.7373941825714401,1,15.5,0,1
1674657000,33810,33810,33768,33768,0,0,35.37134997853572,0.27485828653480976,1,0.34364261291395554,13355.9999625,64800,9.5,0,0,0,0,35.37134997853572,0.27485828653480976,1,9.5,0,0
1674657000.001,33768,33768,33726,33726,0,0,34.674274940301075,0.2952484756317214,1,4.851752035185736,12060.0000275,0.001,9.5,0,0,0,0,34.674274940301075,0.2952484756317214,1,9.5,0,0
1674657000.002,33726,33726,33684,33684,0,0,33.36439753854369,0.3164911029919678,-1,8.291873944608082e-8,12060.0000275,0.001,9.5,0,0,0,0,33.36439753854369,0.3164911029919678,-1,9.5,0,0
1674657000.003,33684,33684,33642,33642,0,0,31.535902620980018,0.33852794716054874,-1,8.291873944608082e-8,11700.0001275,0.001,9.5,0,0,0,0,31.535902620980018,0.33852794716054874,-1,9.5,0,0
1674657000.004,33642,33642,33600,33600,0,0,29.2944739505944,0.36128813825361156,-1,8.547008453868071e-8,11520.000177500002,0.001,9.5,0,0,0,0,29.2944739505944,0.36128813825361156,-1,9.5,0,0
1674657000.005,33600,33600,33558,33558,0,0,27.73628249307111,0.38468863281128474,-1,8.680555421805677e-8,11340.0002275,0.001,9.5,0,0,0,0,27.73628249307111,0.38468863281128474,-1,9.5,0,0
1674657000.006,33558,33558,33516,33516,0,0,26.773220676101573,0.4086350915607648,-1,8.818341974764303e-8,11340.0002275,0.001,9.5,0,0,0,0,26.773220676101573,0.4086350915607648,-1,9.5,0,0
1674667800,33558,33600,33558,33600,0,0,26.32655843599761,0.9415061089531513,-1,8.818341974764303e-8,11699.9999775,10799.994,12.5,0,0,0,0,26.32655843599761,0.9415061089531513,-1,12.5,0,0
1674667800.001,33600,33642,33600,33642,0,0,25.283707750705446,0.9467804779170143,-1,0.9230764120315573,8541.0000275,0.001,12.5,0,0,0,0,25.283707750705446,0.9467804779170143,-1,12.5,0,0
1674667800.002,33642,33684,33642,33684,0,0,23.733971156696768,0.951603705959257,-1,1.1708230848615344e-7,8541.0000275,0.001,12.5,0,0,0,0,23.733971156696768,0.951603705959257,-1,12.5,0,0
1674667800.003,33684,33726,33684,33726,0,0,22.32070226451647,0.9560101199469598,-1,1.1708230848615344e-7,8541.000027500002,0.001,12.5,0,0,0,0,22.32070226451647,0.9560101199469598,-1,12.5,0,0
1674675000,33726,33768,33726,33768,0,0,21.506825378970245,1.6616774388741826,1,1.1708230848615342e-7,8900.9998275,7199.997,14.5,0,0,0,0,21.506825378970245,1.6616774388741826,1,14.5,0,0
1674678600,33768,33810,33768,33810,0,0,21.21275035393957,0.7986595063005626,1,0.8088975552786012,9080.999777500001,3600,15.5,0,1,0,0,21.21275035393957,0.7986595063005626,1,15.5,0,1
1674743400,33810,33852,33810,33852,0,0,21.367364272731134,2.2244081457287046,1,0.39643212071425465,10817.999977499998,38340.00000000001,9.5,0,0,0,0,21.367364272731134,2.2244081457287046,1,9.5,0,0
1674757800,33852,33894,33775,33894,0,0,21.90720295937296,2.7118816477404706,1,3.5440931854078492,11537.999927499997,14400,13.5,0,0,0,0,21.90720295937296,2.7118816477404706,1,13.5,0,0
1674761400,33894,33936,33894,33936,0,0,22.775700989118654,0.1955834476156291,1,1.2480499298391077,11717.999877499997,3600,14.5,0,0,0,0,22.775700989118654,0.1955834476156291,1,14.5,0,0
1674761400.001,33936,33978,33936,33978,0,0,23.922512711713022,0.21181048165483432,1,0.30721966527004696,10998.000027499997,0.001,14.5,0,0,0,0,23.922512711713022,0.21181048165483432,1,14.5,0,0
1674829800,33978,34020,33978,34020,0,0,25.302897545283432,1.2498832295385829,1,9.09256226131611e-8,9540.000049999995,37259.99999999999,9.5,0,0,0,0,25.302897545283432,1.2498832295385829,1,9.5,0,0
1674829800.001,34020,34062,34020,34062,0,0,26.87716346315035,1.2208294387880931,1,3.905660356888574,9180.000099999996,0.001,9.5,0,0,0,0,26.87716346315035,1.2208294387880931,1,9.5,0,0
1674844200,34062,34104,34017,34104,0,0,28.610163189920808,1.5629155791383678,1,1.0893246068701029e-7,9720.000049999997,14399.999,13.5,0,0,0,0,28.610163189920808,1.5629155791383678,1,13.5,0,0
1674844200.001,34104,34146,34104,34146,0,0,30.470838155185533,1.4833895697350155,1,1.4814813709800345,6480.000099999996,0.001,13.5,0,0,0,0,30.470838155185533,1.4833895697350155,1,13.5,0,0
1674847800,34146,34188,34146,34188,0,0,32.431805730142514,0.5938915367227837,1,1.543209852728244e-7,6659.999999999997,3599.999,14.5,0,0,0,0,32.431805730142514,0.5938915367227837,1,14.5,0,0
1674851400,34146,34146,34104,34104,0,0,34.468985700750736,0.29031884569214716,1,0.5405403903903906,6839.999949999998,3600,15.5,0,1,0,0,34.468985700750736,0.29031884569214716,1,15.5,0,1
1674851400.001,34104,34104,34062,34062,0,0,35.53375170832492,0.31136349365259475,1,0.5263157933210221,6839.999949999998,0.001,15.5,0,1,0,0,35.53375170832492,0.31136349365259475,1,15.5,0,1
1675092600,34062,34062,34020,34020,0,0,35.755418721536,2.9133116786103477,1,1.4619883147806168e-7,10106.999869999996,65339.99939999999,10.5,0,0,0,0,35.755418721536,2.9133116786103477,1,10.5,0,0
1675096200,34020,34020,33978,33978,0,0,35.24967925189175,0.6828176213229632,-1,6.464826381757935,10286.999819999997,3600,11.5,0,0,0,0,35.24967925189175,0.6828176213229632,-1,11.5,0,0
1675103400,33978,33978,33936,33936,0,0,34.1199050323793,0.5554401467515213,-1,0.34995626159153576,10646.999769999999,7200,13.5,0,0,0,0,34.1199050323793,0.5554401467515213,-1,13.5,0,0
1675103400.001,33936,33936,33894,33894,0,0,32.458330083929496,0.5799966441822122,-1,0.6762468447014911,10107.000119999997,0.001,13.5,0,0,0,0,32.458330083929496,0.5799966441822122,-1,13.5,0,0
1675107000,33894,33894,33852,33852,0,0,30.34712577901936,0.3463159468914668,-1,9.894132661789266e-8,10287.000019999998,3599.999,14.5,0,0,0,0,30.34712577901936,0.3463159468914668,-1,14.5,0,0
1675107000.001,33852,33852,33810,33810,0,0,28.499570317877204,0.3693074102002999,-1,0.34995615757761034,10287.000019999998,0.001,14.5,0,0,0,0,28.499570317877204,0.3693074102002999,-1,14.5,0,0
1675182600,33852,33894,33852,33894,0,0,27.273336657782206,3.5157225881832117,-1,9.721007077435586e-8,14066.999919999997,75599.999,11.5,0,0,0,0,27.273336657782206,3.5157225881832117,-1,11.5,0,0
1675186200,33894,33936,33894,33936,0,0,25.564490611489386,0.3082228914160573,-1,5.374280189801836,13887.000069999998,3600,12.5,0,0,0,0,25.564490611489386,0.3082228914160573,-1,12.5,0,0
1675189800,33936,33978,33936,33978,0,0,24.028376858090777,0.4017529186220439,-1,0.25923525468809194,13887.000069999998,3600,13.5,0,0,0,0,24.028376858090777,0.4017529186220439,-1,13.5,0,0
1675197000,33978,34020,33978,34020,0,0,23.093098851381527,0.4458092327501401,-1,0.25923525468809194,12330.000069999998,7200,15.5,0,1,0,0,23.093098851381527,0.4458092327501401,-1,15.5,0,1
1675197000.001,34020,34062,34020,34062,0,0,22.680436668027333,0.4706501838445294,1,0.583941602524257,11610.000119999997,0.001,15.5,0,1,0,0,22.680436668027333,0.4706501838445294,1,15.5,0,1
1675197000.002,34062,34104,34062,34104,0,0,22.720310104242188,0.49563737963395943,1,8.61326433819193e-8,11430.000169999996,0.001,15.5,0,1,0,0,22.720310104242188,0.49563737963395943,1,15.5,0,1
1675261800,34062,34062,34020,34020,0,0,23.1500106513794,0.9149909053397605,1,8.74890625657795e-8,14670.000019999998,64799.998,9.5,0,0,0,0,23.1500106513794,0.9149909053397605,1,9.5,0,0
1675261800.001,34020,34020,33978,33978,0,0,22.890588705665145,0.9224592314470264,1,4.417177771755723,12807.000069999998,0.001,9.5,0,0,0,0,22.890588705665145,0.9224592314470264,1,9.5,0,0
1675265400,33978,33978,33936,33936,0,0,22.038520647594176,1.2401795725172875,1,7.808229831609583e-8,12986.999969999999,3599.999,10.5,0,0,0,0,22.038520647594176,1.2401795725172875,1,10.5,0,0
1675269000,33936,33936,33894,33894,0,0,20.679985674989325,0.24433246134538422,1,0.2772002008405333,12447.000019999998,3600,11.5,0,0,0,0,20.679985674989325,0.24433246134538422,1,11.5,0,0
1675269000.001,33894,33894,33852,33852,0,0,19.51383882000341,0.2632803072251007,1,0.28922631913035063,12447.000019999998,0.001,11.5,0,0,0,0,19.51383882000341,0.2632803072251007,1,11.5,0,0
1675269000.002,33852,33852,33810,33810,0,0,18.919868548615685,0.28314696893602365,-1,8.034064420287517e-8,12267.000119999999,0.001,11.5,0,0,0,0,18.919868548615685,0.28314696893602365,-1,11.5,0,0
1675279800,33852,33894,33805,33894,0,0,18.82216223697644,0.8092102815205537,-1,8.151952312852835e-8,12627.00002,10799.998,14.5,0,0,0,0,18.82216223697644,0.8092102815205537,-1,14.5,0,0
1675279800.001,33894,33936,33894,33936,0,0,18.1307367892785,0.8241861135761599,-1,0.8553098901476045,12627.00002,0.001,14.5,0,0,0,0,18.1307367892785,0.8241861135761599,-1,14.5,0,0
1675279800.002,33936,33978,33936,33978,0,0,16.931037840989347,0.8382214440293604,-1,7.919537486466244e-8,9360.0001,0.001,14.5,0,0,0,0,16.931037840989347,0.8382214440293604,-1,14.5,0,0
1675279800.003,33978,34020,33978,34020,0,0,16.144040264714207,0.8513384250819389,-1,1.0683760569617944e-7,9180.000149999998,0.001,14.5,0,0,0,0,16.144040264714207,0.8513384250819389,-1,14.5,0,0
1675279800.004,34020,34062,34020,34062,0,0,15.893896366670493,0.8635649899824039,-1,1.0893246009369622e-7,8820.000199999999,0.001,14.5,0,0,0,0,15.893896366670493,0.8635649899824039,-1,14.5,0,0
1675279800.005,34062,34104,34062,34104,0,0,16.107844726686633,0.8749337128275814,1,1.1337868223631109e-7,8820.000199999999,0.001,14.5,0,0,0,0,16.107844726686633,0.8749337128275814,1,14.5,0,0
1675279800.006,34104,34146,34104,34146,0,0,16.720790862535313,0.88548074030883,1,1.1337868223631109e-7,8640.000299999998,0.001,14.5,0,0,0,0,16.720790862535313,0.88548074030883,1,14.5,0,0
1675279800.007,34146,34188,34146,34188,0,0,17.674581596936452,0.8952448139599781,1,1.157407367219652e-7,8640.000299999998,0.001,14.5,0,0,0,0,17.674581596936452,0.8952448139599781,1,14.5,0,0
1675279800.008,34188,34230,34188,34230,0,0,18.917344188899506,0.9042663943764202,1,1.157407367219652e-7,4860.000399999999,0.001,14.5,0,0,0,0,18.917344188899506,0.9042663943764202,1,14.5,0,0
1675283400,34188,34188,34146,34146,0,0,20.402884649172066,2.1444083238565113,1,2.0576129993734163e-7,4860,3599.992,15.5,0,1,0,0,20.402884649172066,2.1444083238565113,1,15.5,0,1
1675348200,34146,34146,34104,34104,0,0,21.06890898634623,1.080265943623246,1,0.7407390946502058,5868.000000000001,23760,9.5,0,0,0,0,21.06890898634623,1.080265943623246,1,9.5,0,0
1675348200.001,34104,34104,34062,34062,0,0,21.024990900810202,1.0720706330525098,1,4.049079754601227,5508.000050000001,0.001,9.5,0,0,0,0,21.024990900810202,1.0720706330525098,1,9.5,0,0
