time,open,high,low,close,Long Entry,Short Entry,5m ADX(14),Volume
1723539600,1.0925,1.0925,1.092,1.092,0,0,18.518252594561677,4069
1723546800,1.0925,1.093,1.0925,1.093,0,0,18.589078052660117,7234
1723550400,1.093,1.0935,1.093,1.0935,0,0,19.066692719802955,3522
1723550400.001,1.0935,1.0939999999999999,1.0935,1.0939999999999999,0,0,19.892458968469835,3522
1723554000,1.094,1.0945,1.094,1.0945,0,0,21.014063134109858,2622
1723554000.001,1.0945,1.095,1.0945,1.095,0,0,22.3849081307643,2622
1723554000.002,1.095,1.0955,1.095,1.0955,0,0,23.963561005802188,2622
1723564800,1.0955,1.0959999999999999,1.0955,1.0959999999999999,0,0,25.713250623594647,5666
1723564800.001,1.096,1.0965,1.096,1.0965,0,0,27.601411083314847,5666
1723564800.002,1.0965,1.097,1.0965,1.097,0,0,29.599266855413255,5666
1723568400,1.097,1.0975,1.097,1.0975,0,0,31.681455967885082,4105
1723572000,1.0975,1.0979999999999999,1.0975,1.0979999999999999,0,0,33.82568789010579,1183
1723572000.001,1.098,1.0985,1.098,1.0985,0,0,36.012433051398936,1183
1723572000.002,1.0985,1.099,1.0985,1.099,0,0,38.22464119599931,1183
1723572000.003,1.099,1.0995,1.099,1.0995,0,0,40.44748601785883,1183
1723615200,1.0995,1.0999999999999999,1.0995,1.0999999999999999,0,0,42.668133739782064,28702
1723618800,1.1,1.1005,1.1,1.1005,0,0,44.87553350347607,4490
1723622400,1.1005,1.101,1.1005,1.101,0,0,47.060227621885645,2171.5
1723622400.001,1.101,1.1015,1.101,1.1015,0,0,49.214179914156546,2171.5
1723626000,1.1015,1.1019999999999999,1.1015,1.1019999999999999,0,0,51.330620498080336,1580
1723626000.001,1.102,1.1025,1.102,1.1025,1,0,53.4039055561698,1580
1723640400,1.1025,1.103,1.10169,1.103,0,0,55.42939072072105,12793.5
1723640400.001,1.103,1.1035,1.103,1.1035,0,0,57.40331684137302,12793.5
1723647600,1.103,1.10355,1.1025,1.1025,0,0,58.30167976159332,10913
1723651200,1.1025,1.1025,1.102,1.102,0,0,58.268138419679914,4261
1723654800,1.102,1.102,1.1015000000000001,1.1015000000000001,0,0,57.43130584779191,3566
1723680000,1.1015,1.1015,1.101,1.101,0,0,55.906167118443896,11965
1723723200,1.101,1.101,1.1005,1.1005,0,0,53.79537128711491,4028.3
1723723200.001,1.1005,1.1005,1.1,1.1,0,0,51.19040812540266,4028.3
1723723200.002,1.1,1.1,1.0995000000000001,1.0995000000000001,0,0,48.17267953606318,4028.3
1723723200.003,1.0995,1.0995,1.099,1.099,0,0,44.8144747126551,4028.3
1723723200.004,1.099,1.099,1.0985,1.0985,0,0,42.047024262946344,4028.3
1723723200.005,1.0985,1.0985,1.098,1.098,0,0,39.95663186705897,4028.3
1723723200.006,1.098,1.098,1.0975000000000001,1.0975000000000001,0,0,38.46067403380372,4028.3
1723723200.007,1.0975,1.0975,1.097,1.097,0,0,37.48487908309702,4028.3
1723723200.008,1.097,1.097,1.0965,1.0965,0,0,36.962555188009766,4028.3
1723723200.009,1.0965,1.0965,1.096,1.096,0,0,36.833886139084235,4028.3
1723730400,1.0965,1.097,1.0965,1.097,0,0,36.02466164751058,5313
1723730400.001,1.097,1.0975,1.097,1.0975,0,0,34.6327808119125,5313
1723730400.002,1.0975,1.0979999999999999,1.0975,1.0979999999999999,0,0,32.74562655357509,5313
1723734000,1.098,1.0985,1.098,1.0985,0,0,30.44106883002727,5348
1723741200,1.098,1.098,1.0975000000000001,1.0975000000000001,0,0,28.808949312003534,6536
1723784400,1.098,1.0985,1.09714,1.0985,0,0,26.757941799351208,25341
1723798800,1.0985,1.099,1.0985,1.099,0,0,25.363225217879254,15033
1723813200,1.099,1.0995,1.099,1.0995,0,0,24.54149837108028,8940.5
1723813200.001,1.0995,1.0999999999999999,1.0995,1.0999999999999999,0,0,24.21801314304307,8940.5
1723827600,1.1,1.1005,1.09905,1.1005,0,0,24.325777452253686,8500
1723827600.001,1.1005,1.101,1.1005,1.101,0,0,24.804828456280443,8500
1723831200,1.101,1.1015,1.101,1.1015,0,0,25.601570034577826,1561.5
1723831200.001,1.1015,1.1019999999999999,1.1015,1.1019999999999999,0,0,26.66816907195122,1561.5
1723838400,1.102,1.1025,1.102,1.1025,1,0,27.962005520186047,3515
1724025600,1.1025,1.103,1.1025,1.103,0,0,29.445171633196672,6489
1724036400,1.103,1.1035,1.103,1.1035,0,0,31.084016154788547,6849
1724043600,1.1035,1.1039999999999999,1.1035,1.1039999999999999,0,0,32.848729590491615,2922
1724043600.001,1.104,1.1045,1.104,1.1045,0,0,34.71296701845273,2922
1724058000,1.104,1.104,1.1035000000000001,1.1035000000000001,0,0,35.63303927182071,18567
1724076000,1.104,1.1045,1.104,1.1045,0,0,36.75478379174031,4829.4
1724076000.001,1.1045,1.105,1.1045,1.105,0,0,38.04469407228276,4829.4
1724076000.002,1.105,1.1055,1.105,1.1055,0,0,39.47302157779304,4829.4
1724076000.003,1.1055,1.1059999999999999,1.1055,1.1059999999999999,0,0,41.0134098048108,4829.4
