time,open,high,low,close
1751052600.006,44031,44044,44031,44044
1751052600.007,44044,44057,44044,44057
1751052600.008,44057,44070,44057,44070
1751052600.009,44070,44083,44070,44083
1751052600.01,44083,44096,44083,44096
1751290200,44096,44109,44096,44109
1751290200.001,44109,44122,44109,44122
1751290200.002,44122,44135,44122,44135
1751290200.003,44135,44148,44135,44148
1751290200.004,44148,44161,44148,44161
1751290200.005,44161,44174,44161,44174
1751290200.006,44174,44187,44174,44187
1751290200.007,44187,44200,44187,44200
1751290200.008,44200,44213,44200,44213
1751290200.009,44213,44226,44213,44226
1751290200.01,44226,44239,44226,44239
1751290200.011,44239,44252,44239,44252
1751290200.012,44252,44265,44252,44265
1751290200.013,44265,44278,44265,44278
1751293800,44278,44291,44278,44291
1751293800.001,44291,44304,44291,44304
1751297400,44291,44291,44278,44278
1751301000,44291,44304,44291,44304
1751304600,44291,44291,44278,44278
1751304600.001,44278,44278,44265,44265
1751308200,44278,44291,44278,44291
1751308200.001,44291,44304,44291,44304
1751308200.002,44304,44317,44304,44317
1751308200.003,44317,44330,44317,44330
1751308200.004,44330,44343,44330,44343
1751376600,44343,44356,44343,44356
1751376600.001,44356,44369,44356,44369
1751376600.002,44369,44382,44369,44382
1751376600.003,44382,44395,44382,44395
1751376600.004,44395,44408,44395,44408
1751376600.005,44408,44421,44408,44421
1751376600.006,44421,44434,44421,44434
1751376600.007,44434,44447,44434,44447
1751376600.008,44447,44460,44447,44460
1751376600.009,44460,44473,44460,44473
1751376600.01,44473,44486,44473,44486
1751376600.011,44486,44499,44486,44499
1751376600.012,44499,44512,44499,44512
1751376600.013,44512,44525,44512,44525
1751376600.014,44525,44538,44525,44538
1751376600.015,44538,44551,44538,44551
1751376600.016,44551,44564,44551,44564
1751376600.017,44564,44577,44564,44577
1751376600.018,44577,44590,44577,44590
1751376600.019,44590,44603,44590,44603
1751376600.02,44603,44616,44603,44616
1751380200,44616,44629,44616,44629
1751380200.001,44629,44642,44629,44642
1751380200.002,44642,44655,44642,44655
1751380200.003,44655,44668,44655,44668
1751380200.004,44668,44681,44668,44681
1751380200.005,44681,44694,44681,44694
1751380200.006,44694,44707,44694,44707
1751380200.007,44707,44720,44707,44720
1751380200.008,44720,44733,44720,44733
1751380200.009,44733,44746,44733,44746
1751380200.01,44746,44759,44746,44759
1751380200.011,44759,44772,44759,44772
1751380200.012,44772,44785,44772,44785
1751380200.013,44785,44798,44785,44798
1751380200.014,44798,44811,44798,44811
1751380200.015,44811,44824,44811,44824
1751383800,44824,44837,44824,44837
1751394600,44837,44850,44837,44850
1751394600.001,44850,44863,44850,44863
1751394600.002,44863,44876,44863,44876
1751398200,44863,44863,44850,44850
1751398200.001,44850,44850,44837,44837
1751398200.002,44837,44837,44824,44824
1751398200.003,44824,44824,44811,44811
1751463000,44811,44811,44798,44798
1751463000.001,44798,44798,44785,44785
1751463000.002,44785,44785,44772,44772
1751463000.003,44772,44772,44759,44759
1751463000.004,44759,44759,44746,44746
1751463000.005,44746,44746,44733,44733
1751466600,44746,44759,44746,44759
1751466600.001,44759,44772,44759,44772
1751466600.002,44772,44785,44772,44785
1751466600.003,44785,44798,44785,44798
1751470200,44785,44785,44772,44772
1751470200.001,44772,44772,44759,44759
1751549400,44772,44785,44772,44785
1751549400.001,44785,44798,44785,44798
1751549400.002,44798,44811,44798,44811
1751549400.003,44811,44824,44811,44824
1751549400.004,44824,44837,44824,44837
1751549400.005,44837,44850,44837,44850
1751549400.006,44850,44863,44850,44863
1751549400.007,44863,44876,44863,44876
1751549400.008,44876,44889,44876,44889
1751549400.009,44889,44902,44889,44902
1751549400.01,44902,44915,44902,44915
1751549400.011,44915,44928,44915,44928
1751549400.012,44928,44941,44928,44941
1751549400.013,44941,44954,44941,44954
1751549400.014,44954,44967,44954,44967
1751549400.015,44967,44980,44967,44980
1751549400.016,44980,44993,44980,44993
1751549400.017,44993,45006,44993,45006
1751549400.018,45006,45019,45006,45019
1751549400.019,45019,45032,45019,45032
1751549400.02,45032,45045,45032,45045
1751549400.021,45045,45058,45045,45058
1751549400.022,45058,45071,45058,45071
1751553000,45071,45084,45071,45084
1751556600,45084,45097,45084,45097
1751556600.001,45097,45110,45097,45110
1751895000,45097,45097,45084,45084
1751895000.001,45084,45084,45071,45071
1751895000.002,45071,45071,45058,45058
1751895000.003,45058,45058,45045,45045
1751895000.004,45045,45045,45032,45032
1751895000.005,45032,45032,45019,45019
1751895000.006,45019,45019,45006,45006
1751895000.007,45006,45006,44993,44993
1751895000.008,44993,44993,44980,44980
1751895000.009,44980,44980,44967,44967
1751895000.01,44967,44967,44954,44954
1751895000.011,44954,44954,44941,44941
1751895000.012,44941,44941,44928,44928
1751895000.013,44928,44928,44915,44915
1751898600,44915,44915,44902,44902
1751898600.001,44902,44902,44889,44889
1751898600.002,44889,44889,44876,44876
1751898600.003,44876,44876,44863,44863
1751898600.004,44863,44863,44850,44850
1751898600.005,44850,44850,44837,44837
1751898600.006,44837,44837,44824,44824
1751898600.007,44824,44824,44811,44811
1751898600.008,44811,44811,44798,44798
1751902200,44798,44798,44785,44785
1751902200.001,44785,44785,44772,44772
1751902200.002,44772,44772,44759,44759
