Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
31,Entry short,2025-03-05 05:00:00,[R001S rA:41 hA:42 R:33 V:0.53 B:-0.01 M:- ST:D CH:15 CF:+ MI:52 SK:0 PS:D SQ:0 LC:-0.19],191.15,1000,191150,0.21,0.02,0.94,0.07,-0.06,0.00,59.06,5.91
32,Exit long,2025-03-11 09:00:00,[ExitL rA:75 hA:56 R:52 V:0.94 B:0.38 M:- ST:U CH:26 CF:- MI:39 SK:50 PS:U SQ:0 LC:0.49],190.8,1000,190850,-0.47,-0.04,0,0.00,-0.4,-0.03,58.59,5.86
32,Entry long,2025-03-11 09:00:00,[R001L rA:69 hA:52 R:59 V:1.12 B:0.49 M:- ST:U CH:19 CF:- MI:39 SK:67 PS:U SQ:0 LC:0.49],190.85,1000,190850,-0.47,-0.04,0,0.00,-0.4,-0.03,58.59,5.86
33,Exit long,2025-03-11 20:00:00,[ExitL rA:33 hA:34 R:64 V:4.91 B:0.71 M:- ST:U CH:37 CF:- MI:24 SK:61 PS:U SQ:0 LC:0.02],191.5,1000,191550,-0.47,-0.04,0.46,0.04,-0.4,-0.03,58.13,5.81
33,Entry long,2025-03-11 19:00:00,[R001L rA:34 hA:35 R:73 V:0.8 B:0.89 M:+ ST:U CH:37 CF:+ MI:40 SK:100 PS:U SQ:0 LC:0.04],191.55,1000,191550,-0.47,-0.04,0.46,0.04,-0.4,-0.03,58.13,5.81
34,Exit long,2025-03-17 15:00:00,[ExitL rA:40 hA:36 R:77 V:3.84 B:0.8 M:+ ST:U CH:5 CF:+ MI:58 SK:84 PS:U SQ:0 LC:0.36],193.8,1000,193200,3.89,0.30,4.32,0.33,-0.07,0.00,62.02,6.20
34,Entry long,2025-03-17 10:00:00,[R001L rA:40 hA:35 R:71 V:0.46 B:0.88 M:- ST:U CH:37 CF:+ MI:54 SK:100 PS:U SQ:0 LC:0.37],193.2,1000,193200,3.89,0.30,4.32,0.33,-0.07,0.00,62.02,6.20
35,Exit short,2025-03-18 09:00:00,[ExitS rA:35 hA:42 R:43 V:3.98 B:0.24 M:- ST:D CH:24 CF:- MI:54 SK:22 PS:D SQ:0 LC:-0.2],194.1,1000,194050,-0.47,-0.04,0,0.00,-0.4,-0.03,61.55,6.16
35,Entry short,2025-03-18 07:00:00,[R001S rA:33 hA:51 R:35 V:0.95 B:0.1 M:- ST:D CH:18 CF:- MI:31 SK:0 PS:D SQ:0 LC:-0.05],194.05,1000,194050,-0.47,-0.04,0,0.00,-0.4,-0.03,61.55,6.16
36,Exit long,2025-03-24 09:00:00,[ExitL rA:59 hA:44 R:79 V:0.56 B:0.81 M:+ ST:U CH:5 CF:+ MI:95 SK:85 PS:U SQ:0 LC:0.46],194.5,1000,194150,2.21,0.17,2.95,0.23,-0.06,0.00,63.76,6.38
36,Entry long,2025-03-24 07:00:00,[R001L rA:40 hA:33 R:83 V:0.31 B:0.96 M:+ ST:U CH:10 CF:+ MI:91 SK:100 PS:U SQ:0 LC:0.31],194.15,1000,194150,2.21,0.17,2.95,0.23,-0.06,0.00,63.76,6.38
37,Exit short,2025-03-25 09:00:00,[ExitS rA:34 hA:54 R:31 V:2.36 B:0.18 M:- ST:D CH:8 CF:- MI:19 SK:15 PS:D SQ:0 LC:-0.08],194,1000,194050,0.2,0.02,0.93,0.07,-0.06,0.00,63.97,6.40
37,Entry short,2025-03-25 06:00:00,[R001S rA:35 hA:56 R:26 V:0.35 B:0 M:- ST:D CH:14 CF:- MI:51 SK:0 PS:D SQ:0 LC:-0.05],194.05,1000,194050,0.2,0.02,0.93,0.07,-0.06,0.00,63.97,6.40
38,Exit long,2025-03-27 15:00:00,[ExitL rA:74 hA:48 R:78 V:5.27 B:0.82 M:+ ST:U CH:13 CF:- MI:34 SK:83 PS:U SQ:0 LC:0.54],195.6,1000,195400,1.19,0.09,1.93,0.15,-0.06,0.00,65.16,6.52
38,Entry long,2025-03-27 07:00:00,[R001L rA:66 hA:39 R:83 V:0.59 B:0.9 M:- ST:U CH:18 CF:+ MI:55 SK:100 PS:U SQ:0 LC:0.52],195.4,1000,195400,1.19,0.09,1.93,0.15,-0.06,0.00,65.16,6.52
