Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
822,Entry short,2026-03-13 19:00:00,Short,46620,1,23310,13.1,0.06,44.05,0.19,-0.95,0.00,49635.1,496.35
823,Exit short,2026-03-16 10:00:00,Trail,46710,1,23355,-1.9,-0.01,29.05,0.12,-0.95,0.00,49633.2,496.33
823,Entry short,2026-03-16 08:00:00,Short,46710,1,23355,-1.9,-0.01,29.05,0.12,-0.95,0.00,49633.2,496.33
824,Exit long,2026-03-16 14:00:00,Trail,47100,1,23535,13.1,0.06,44.05,0.19,-0.95,0.00,49646.3,496.46
824,Entry long,2026-03-16 13:00:00,Long,47070,1,23535,13.1,0.06,44.05,0.19,-0.95,0.00,49646.3,496.46
825,Exit long,2026-03-17 14:00:00,Trail,47610,1,23745,58.1,0.24,89.05,0.38,-0.95,0.00,49704.4,497.04
825,Entry long,2026-03-17 13:00:00,Long,47490,1,23745,58.1,0.24,89.05,0.38,-0.95,0.00,49704.4,497.04
826,Exit long,2026-03-18 11:00:00,Trail,47520,1,23700,58.1,0.25,99.05,0.42,-0.95,0.00,49762.5,497.63
826,Entry long,2026-03-18 01:00:00,Long,47400,1,23700,58.1,0.25,99.05,0.42,-0.95,0.00,49762.5,497.63
827,Exit short,2026-03-18 13:00:00,Trail,47160,1,23580,-1.9,-0.01,29.05,0.12,-0.95,0.00,49760.6,497.61
827,Entry short,2026-03-18 12:00:00,Short,47160,1,23580,-1.9,-0.01,29.05,0.12,-0.95,0.00,49760.6,497.61
828,Exit short,2026-03-18 23:00:00,Trail,46470,1,23535,298.1,1.27,329.05,1.40,-0.95,0.00,50058.7,500.59
828,Entry short,2026-03-18 14:00:00,Short,47070,1,23535,298.1,1.27,329.05,1.40,-0.95,0.00,50058.7,500.59
829,Exit short,2026-03-19 09:00:00,Trail,46500,1,23235,-16.9,-0.07,14.05,0.06,-15.95,-0.07,50041.8,500.42
829,Entry short,2026-03-19 07:00:00,Short,46470,1,23235,-16.9,-0.07,14.05,0.06,-15.95,-0.07,50041.8,500.42
830,Exit short,2026-03-20 15:00:00,Trail,46080,1,23010,-31.9,-0.14,0,0.00,-30.95,-0.13,50009.9,500.10
830,Entry short,2026-03-20 14:00:00,Short,46020,1,23010,-31.9,-0.14,0,0.00,-30.95,-0.13,50009.9,500.10
831,Exit short,2026-03-20 19:00:00,Trail,45900,1,23010,58.1,0.25,89.05,0.39,-0.95,0.00,50068,500.68
831,Entry short,2026-03-20 18:00:00,Short,46020,1,23010,58.1,0.25,89.05,0.39,-0.95,0.00,50068,500.68
832,Exit short,2026-03-22 22:03:00,Trail,45660,1,22830,-1.9,-0.01,29.05,0.13,-0.95,0.00,50066.1,500.66
832,Entry short,2026-03-22 22:00:00,Short,45660,1,22830,-1.9,-0.01,29.05,0.13,-0.95,0.00,50066.1,500.66
833,Exit short,2026-03-23 00:10:00,Trail,45870,1,22920,-16.9,-0.07,23.05,0.10,-15.95,-0.07,50049.2,500.49
833,Entry short,2026-03-22 23:33:00,Short,45840,1,22920,-16.9,-0.07,23.05,0.10,-15.95,-0.07,50049.2,500.49
834,Exit short,2026-03-23 01:07:00,Trail,45810,1,22920,13.1,0.06,44.05,0.19,-0.95,0.00,50062.3,500.62
834,Entry short,2026-03-23 00:34:00,Short,45840,1,22920,13.1,0.06,44.05,0.19,-0.95,0.00,50062.3,500.62
835,Exit short,2026-03-23 05:00:00,Trail,45780,1,22920,28.1,0.12,65.05,0.28,-0.95,0.00,50090.4,500.90
