Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
22,Entry long,2023-04-04 00:00:00,Long,165.24,500,82620,2.66,0.43,3.6,0.58,-0.03,0.00,37.83,3.78
23,Exit short,2023-04-04 19:00:00,Trail,164.43,500,82485,1.99,0.32,3.04,0.49,-0.03,0.00,39.82,3.98
23,Entry short,2023-04-04 08:00:00,Short,164.97,500,82485,1.99,0.32,3.04,0.49,-0.03,0.00,39.82,3.98
24,Exit long,2023-04-11 00:00:00,Trail,165.51,500,82665,0.62,0.10,1.32,0.21,-0.03,0.00,40.44,4.04
24,Entry long,2023-04-10 07:00:00,Long,165.33,500,82665,0.62,0.10,1.32,0.21,-0.03,0.00,40.44,4.04
25,Exit long,2023-04-19 02:00:00,Trail,167.67,500,83835,-0.06,-0.01,0.64,0.10,-0.03,0.00,40.38,4.04
25,Entry long,2023-04-19 00:00:00,Long,167.67,500,83835,-0.06,-0.01,0.64,0.10,-0.03,0.00,40.38,4.04
26,Exit short,2023-04-21 05:00:00,Trail,165.87,500,83160,1.62,0.26,2.32,0.37,-0.03,0.00,42,4.20
26,Entry short,2023-04-20 23:00:00,Short,166.32,500,83160,1.62,0.26,2.32,0.37,-0.03,0.00,42,4.20
27,Exit long,2023-04-23 23:00:00,Trail,166.95,500,83430,0.28,0.04,0.98,0.16,-0.44,-0.07,42.28,4.23
27,Entry long,2023-04-21 13:00:00,Long,166.86,500,83430,0.28,0.04,0.98,0.16,-0.44,-0.07,42.28,4.23
28,Exit short,2023-04-25 13:00:00,Trail,165.78,500,83295,2.96,0.48,3.66,0.59,-0.03,0.00,45.24,4.52
28,Entry short,2023-04-25 05:00:00,Short,166.59,500,83295,2.96,0.48,3.66,0.59,-0.03,0.00,45.24,4.52
29,Exit long,2023-04-28 01:00:00,Trail,169.2,500,84105,3.64,0.58,4.34,0.69,-0.03,0.00,48.88,4.89
29,Entry long,2023-04-27 23:00:00,Long,168.21,500,84105,3.64,0.58,4.34,0.69,-0.03,0.00,48.88,4.89
30,Exit short,2023-05-02 08:00:00,Trail,170.19,500,85410,2.23,0.36,2.92,0.47,-0.03,0.00,51.11,5.11
30,Entry short,2023-05-02 07:00:00,Short,170.82,500,85410,2.23,0.36,2.92,0.47,-0.03,0.00,51.11,5.11
31,Exit short,2023-05-04 00:00:00,Trail,169.11,500,84555,-0.06,-0.01,0.64,0.10,-0.03,0.00,51.05,5.11
31,Entry short,2023-05-03 23:00:00,Short,169.11,500,84555,-0.06,-0.01,0.64,0.10,-0.03,0.00,51.05,5.11
32,Exit long,2023-05-05 10:00:00,Trail,170.28,500,84825,2.29,0.36,2.99,0.47,-0.03,0.00,53.34,5.33
32,Entry long,2023-05-05 06:00:00,Long,169.65,500,84825,2.29,0.36,2.99,0.47,-0.03,0.00,53.34,5.33
33,Exit short,2023-05-10 12:00:00,Trail,169.56,500,84870,0.61,0.10,1.3,0.21,-0.03,0.00,53.95,5.40
33,Entry short,2023-05-10 07:00:00,Short,169.74,500,84870,0.61,0.10,1.3,0.21,-0.03,0.00,53.95,5.40
34,Exit short,2023-05-11 07:00:00,Trail,168.21,500,84195,0.61,0.10,1.31,0.21,-0.03,0.00,54.56,5.46
34,Entry short,2023-05-11 06:00:00,Short,168.39,500,84195,0.61,0.10,1.31,0.21,-0.03,0.00,54.56,5.46
35,Exit long,2023-05-15 05:00:00,Trail,170.1,500,84645,2.92,0.47,3.62,0.58,-0.03,0.00,57.49,5.75
35,Entry long,2023-05-14 18:00:00,Long,169.29,500,84645,2.92,0.47,3.62,0.58,-0.03,0.00,57.49,5.75
36,Exit long,2023-05-17 17:00:00,Trail,171.72,500,85635,1.58,0.25,2.38,0.38,-0.03,0.00,59.06,5.91
36,Entry long,2023-05-17 07:00:00,Long,171.27,500,85635,1.58,0.25,2.38,0.38,-0.03,0.00,59.06,5.91
37,Exit long,2023-05-22 21:00:00,Trail,172.35,500,86265,-0.71,-0.11,0,0.00,-0.68,-0.11,58.36,5.84
37,Entry long,2023-05-22 18:00:00,Long,172.53,500,86265,-0.71,-0.11,0,0.00,-0.68,-0.11,58.36,5.84
