Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
73,Entry long,2025-07-28 15:00:00,[R001L rA:35 R:69 V:0.92 B:0.88 M:- ST:U CH:37 CF:+ MI:73 SK:100/99 PS:U SQ:0 LC:0.28],148.4,1000,148400,0.91,0.09,1.63,0.16,-0.05,0.00,166.63,16.66
74,Exit long,2025-07-30 22:00:00,[ExitL rA:44 R:72 V:0.35 B:0.82 M:+ ST:U CH:8 CF:+ MI:97 SK:94/98 PS:U SQ:0 LC:0.32],149.4,1000,149100,1.91,0.19,2.64,0.26,-0.05,0.00,168.54,16.85
74,Entry long,2025-07-30 18:00:00,[R001L rA:39 R:70 V:0.85 B:0.9 M:- ST:U CH:42 CF:+ MI:61 SK:83/70 PS:U SQ:0 LC:0.27],149.1,1000,149100,1.91,0.19,2.64,0.26,-0.05,0.00,168.54,16.85
75,Exit short,2025-08-05 01:00:00,[ExitS rA:83 R:34 V:2.04 B:0.22 M:- ST:D CH:33 CF:- MI:45 SK:6/2 PS:D SQ:0 LC:-0.56],146.9,1000,146850,-0.44,-0.04,0,0.00,-0.39,-0.04,168.1,16.81
75,Entry short,2025-08-05 00:00:00,[R001S rA:84 R:25 V:0.34 B:0.06 M:- ST:D CH:31 CF:- MI:34 SK:0/0 PS:D SQ:0 LC:-0.58],146.85,1000,146850,-0.44,-0.04,0,0.00,-0.39,-0.04,168.1,16.81
76,Exit long,2025-08-12 03:00:00,[ExitL rA:51 R:75 V:1.63 B:0.8 M:+ ST:U CH:9 CF:+ MI:88 SK:95/98 PS:U SQ:0 LC:0.4],148.35,1000,148000,2.26,0.23,2.65,0.27,-0.05,0.00,170.36,17.04
76,Entry long,2025-08-11 18:00:00,[R001L rA:42 R:75 V:1.35 B:0.97 M:+ ST:U CH:13 CF:- MI:70 SK:93/81 PS:U SQ:0 LC:0.4],148,1000,148000,2.26,0.23,2.65,0.27,-0.05,0.00,170.36,17.04
77,Exit long,2025-08-26 00:00:00,[ExitL rA:48 R:68 V:0.66 B:0.83 M:+ ST:U CH:17 CF:+ MI:82 SK:95/98 PS:U SQ:0 LC:0.36],147.7,1000,147500,1.25,0.13,2.14,0.21,-0.05,0.00,171.61,17.16
77,Entry long,2025-08-25 15:00:00,[R001L rA:32 R:67 V:0.48 B:0.9 M:+ ST:U CH:30 CF:+ MI:81 SK:100/100 PS:U SQ:0 LC:0.23],147.5,1000,147500,1.25,0.13,2.14,0.21,-0.05,0.00,171.61,17.16
78,Exit short,2025-09-17 00:00:00,[ExitS rA:50 R:26 V:0.95 B:0.18 M:- ST:D CH:5 CF:- MI:7 SK:8/3 PS:D SQ:0 LC:-0.35],146.45,1000,146750,1.95,0.19,2.66,0.27,-0.05,0.00,173.56,17.36
78,Entry short,2025-09-16 14:00:00,[R001S rA:51 R:26 V:0.35 B:0.07 M:- ST:D CH:20 CF:- MI:32 SK:0/1 PS:D SQ:0 LC:-0.34],146.75,1000,146750,1.95,0.19,2.66,0.27,-0.05,0.00,173.56,17.36
79,Exit short,2025-09-30 15:00:00,[ExitS rA:50 R:25 V:0.48 B:0.22 M:- ST:D CH:16 CF:- MI:19 SK:4/1 PS:D SQ:0 LC:-0.47],147.8,1000,147750,-0.44,-0.04,0,0.00,-0.39,-0.04,173.12,17.31
