Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
40,Entry long,2025-02-12 06:00:00,[R001L 5A:63 bA:63 R:72 V:0.51 B:0.95 M:- ST:U CH:35 CF:+ MI:86 SK:100 PS:U SQ:0],191.4,1000,191400,6.76,0.54,7.48,0.60,-0.06,0.00,111.56,11.16
41,Exit short,2025-02-12 16:00:00,[ExitS 5A:51 bA:51 R:54 V:0.49 B:0.27 M:- ST:D CH:21 CF:- MI:34 SK:20 PS:D SQ:0],192.15,1000,192150,-0.12,-0.01,0.59,0.05,-0.46,-0.04,111.44,11.14
41,Entry short,2025-02-12 15:00:00,[R001S 5A:62 bA:62 R:54 V:0.7 B:0.32 M:- ST:D CH:24 CF:+ MI:65 SK:0 PS:D SQ:0],192.15,1000,192150,-0.12,-0.01,0.59,0.05,-0.46,-0.04,111.44,11.14
42,Exit short,2025-02-13 07:00:00,[ExitS 5A:55 bA:55 R:24 V:3.74 B:0.19 M:- ST:D CH:5 CF:- MI:27 SK:15 PS:D SQ:0],191.6,1000,191800,1.17,0.09,1.88,0.15,-0.06,0.00,112.61,11.26
42,Entry short,2025-02-13 05:00:00,[R001S 5A:43 bA:43 R:19 V:0.7 B:0.07 M:- ST:D CH:11 CF:- MI:24 SK:0 PS:D SQ:0],191.8,1000,191800,1.17,0.09,1.88,0.15,-0.06,0.00,112.61,11.26
43,Exit short,2025-02-16 17:00:00,[ExitS 5A:40 bA:40 R:27 V:1.66 B:0.2 M:- ST:D CH:5 CF:- MI:13 SK:15 PS:D SQ:0],191.3,1000,191450,0.86,0.07,1.58,0.13,-0.06,0.00,113.47,11.35
43,Entry short,2025-02-16 15:00:00,[R001S 5A:27 bA:27 R:23 V:0.2 B:0.03 M:- ST:D CH:7 CF:- MI:0 SK:0 PS:D SQ:0],191.45,1000,191450,0.86,0.07,1.58,0.13,-0.06,0.00,113.47,11.35
44,Exit long,2025-02-18 12:00:00,[ExitL 5A:24 bA:24 R:55 V:1.1 B:0.73 M:+ ST:U CH:20 CF:+ MI:70 SK:80 PS:U SQ:0],191.45,1000,191300,0.86,0.07,1.26,0.10,-0.06,0.00,114.33,11.43
44,Entry long,2025-02-18 06:00:00,[R001L 5A:28 bA:28 R:51 V:1.02 B:0.48 M:- ST:U CH:22 CF:- MI:40 SK:67 PS:U SQ:0],191.3,1000,191300,0.86,0.07,1.26,0.10,-0.06,0.00,114.33,11.43
45,Exit short,2025-02-19 14:00:00,[ExitS 5A:54 bA:54 R:25 V:5.18 B:0.19 M:- ST:D CH:14 CF:- MI:65 SK:17 PS:D SQ:0],190.65,1000,190900,1.52,0.12,1.91,0.15,-0.06,0.00,115.85,11.59
45,Entry short,2025-02-19 06:00:00,[R001S 5A:44 bA:44 R:22 V:0.28 B:0.1 M:- ST:D CH:10 CF:- MI:23 SK:0 PS:D SQ:0],190.9,1000,190900,1.52,0.12,1.91,0.15,-0.06,0.00,115.85,11.59
46,Exit short,2025-02-20 08:00:00,[ExitS 5A:29 bA:29 R:40 V:3.36 B:0.22 M:- ST:D CH:24 CF:+ MI:44 SK:23 PS:D SQ:0],189.1,1000,189050,-0.45,-0.04,0.31,0.03,-0.39,-0.03,115.4,11.54
46,Entry short,2025-02-20 08:00:00,[R001S 5A:28 bA:28 R:32 V:0.85 B:0.04 M:- ST:D CH:18 CF:- MI:25 SK:0 PS:D SQ:0],189.05,1000,189050,-0.45,-0.04,0.31,0.03,-0.39,-0.03,115.4,11.54
47,Exit short,2025-02-21 13:00:00,[ExitS 5A:81 bA:81 R:16 V:1.18 B:0.2 M:- ST:D CH:5 CF:- MI:8 SK:15 PS:D SQ:0],188.45,1000,189900,9.56,0.75,10.29,0.81,-0.06,0.00,124.96,12.50
