Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
25,Entry long,2025-11-17 07:00:00,[R001L 5A:49 bA:49 R:81 V:0.24 B:0.94 M:+ ST:U CH:12 CF:+ MI:87 SK:100 PS:U SQ:0],204.15,1000,204150,1.48,0.11,2.37,0.18,-0.07,0.00,63.27,6.33
26,Exit long,2025-11-18 13:00:00,[ExitL 5A:32 bA:32 R:64 V:2.26 B:0.84 M:+ ST:U CH:24 CF:+ MI:62 SK:80 PS:U SQ:0],204.5,1000,204450,0.19,0.01,0.9,0.07,-0.07,0.00,63.46,6.35
26,Entry long,2025-11-18 09:00:00,[R001L 5A:26 bA:26 R:66 V:0.59 B:0.96 M:+ ST:U CH:37 CF:+ MI:63 SK:100 PS:U SQ:0],204.45,1000,204450,0.19,0.01,0.9,0.07,-0.07,0.00,63.46,6.35
27,Exit long,2025-11-19 07:00:00,[ExitL 5A:51 bA:51 R:76 V:0.4 B:0.8 M:+ ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],205.2,1000,205050,0.83,0.06,1.54,0.12,-0.07,0.00,64.29,6.43
27,Entry long,2025-11-19 06:00:00,[R001L 5A:39 bA:39 R:81 V:0.55 B:0.94 M:+ ST:U CH:3 CF:+ MI:100 SK:100 PS:U SQ:0],205.05,1000,205050,0.83,0.06,1.54,0.12,-0.07,0.00,64.29,6.43
28,Exit long,2025-11-20 07:00:00,[ExitL 5A:56 bA:56 R:78 V:2.3 B:0.8 M:+ ST:U CH:5 CF:+ MI:82 SK:85 PS:U SQ:0],206.55,1000,205950,3.69,0.28,4.39,0.33,-0.07,0.00,67.98,6.80
28,Entry long,2025-11-20 05:00:00,[R001L 5A:29 bA:29 R:72 V:0.83 B:0.98 M:+ ST:U CH:8 CF:+ MI:91 SK:100 PS:U SQ:0],205.95,1000,205950,3.69,0.28,4.39,0.33,-0.07,0.00,67.98,6.80
29,Exit long,2025-11-20 12:00:00,[ExitL 5A:27 bA:27 R:46 V:1.02 B:0.38 M:- ST:U CH:26 CF:- MI:42 SK:50 PS:U SQ:0],206.05,1000,206100,-0.45,-0.03,0,0.00,-0.38,-0.03,67.53,6.75
29,Entry long,2025-11-20 12:00:00,[R001L 5A:29 bA:29 R:53 V:1.18 B:0.48 M:- ST:U CH:19 CF:- MI:45 SK:67 PS:U SQ:0],206.1,1000,206100,-0.45,-0.03,0,0.00,-0.38,-0.03,67.53,6.75
30,Exit long,2025-11-25 12:00:00,[ExitL 5A:27 bA:27 R:64 V:0.98 B:0.82 M:+ ST:U CH:7 CF:+ MI:92 SK:79 PS:U SQ:0],205.75,1000,205800,-0.45,-0.03,0.55,0.04,-0.38,-0.03,67.08,6.71
