Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
135,Exit short,2025-02-03 08:00:00,Trail,44100,1,22395,343.1,1.53,376.55,1.68,-0.95,0.00,8878.5,88.79
135,Entry short,2025-01-31 20:00:00,Short,44790,1,22395,343.1,1.53,376.55,1.68,-0.95,0.00,8878.5,88.79
136,Exit long,2025-02-06 11:00:00,Trail,45060,1,22500,28.1,0.12,59.05,0.26,-0.95,0.00,8906.6,89.07
136,Entry long,2025-02-05 20:00:00,Long,45000,1,22500,28.1,0.12,59.05,0.26,-0.95,0.00,8906.6,89.07
137,Exit long,2025-02-12 18:00:00,Trail,44490,1,22185,58.1,0.26,89.05,0.40,-0.95,0.00,8964.7,89.65
137,Entry long,2025-02-12 15:00:00,Long,44370,1,22185,58.1,0.26,89.05,0.40,-0.95,0.00,8964.7,89.65
138,Exit long,2025-02-14 08:00:00,Trail,44790,1,22425,-31.9,-0.14,10.05,0.04,-30.95,-0.14,8932.8,89.33
138,Entry long,2025-02-14 01:00:00,Long,44850,1,22425,-31.9,-0.14,10.05,0.04,-30.95,-0.14,8932.8,89.33
139,Exit short,2025-02-20 19:00:00,Trail,44130,1,22140,73.1,0.33,104.05,0.47,-0.95,0.00,9005.9,90.06
139,Entry short,2025-02-20 15:00:00,Short,44280,1,22140,73.1,0.33,104.05,0.47,-0.95,0.00,9005.9,90.06
140,Exit short,2025-02-23 23:00:00,Trail,43560,1,21945,163.1,0.74,203.05,0.93,-0.95,0.00,9169,91.69
140,Entry short,2025-02-21 14:00:00,Short,43890,1,21945,163.1,0.74,203.05,0.93,-0.95,0.00,9169,91.69
141,Exit long,2025-02-26 16:00:00,Trail,43800,1,21930,-31.9,-0.15,0,0.00,-30.95,-0.14,9137.1,91.37
141,Entry long,2025-02-26 15:00:00,Long,43860,1,21930,-31.9,-0.15,0,0.00,-30.95,-0.14,9137.1,91.37
142,Exit short,2025-02-28 04:00:00,Trail,43290,1,21675,28.1,0.13,65.55,0.30,-0.95,0.00,9165.2,91.65
142,Entry short,2025-02-27 20:00:00,Short,43350,1,21675,28.1,0.13,65.55,0.30,-0.95,0.00,9165.2,91.65
143,Exit long,2025-03-06 07:00:00,Trail,42990,1,21495,-1.9,-0.01,41.05,0.19,-0.95,0.00,9163.3,91.63
143,Entry long,2025-03-05 19:00:00,Long,42990,1,21495,-1.9,-0.01,41.05,0.19,-0.95,0.00,9163.3,91.63
144,Exit long,2025-03-09 22:00:00,Trail,42750,1,21360,13.1,0.06,56.55,0.26,-0.95,0.00,9176.4,91.76
144,Entry long,2025-03-07 18:00:00,Long,42720,1,21360,13.1,0.06,56.55,0.26,-0.95,0.00,9176.4,91.76
145,Exit short,2025-03-10 09:00:00,Trail,42480,1,21210,-31.9,-0.15,0,0.00,-30.95,-0.15,9144.5,91.45
145,Entry short,2025-03-10 08:00:00,Short,42420,1,21210,-31.9,-0.15,0,0.00,-30.95,-0.15,9144.5,91.45
146,Exit short,2025-03-11 15:00:00,Trail,41460,1,20850,118.1,0.57,149.05,0.71,-0.95,0.00,9262.6,92.63
146,Entry short,2025-03-11 14:00:00,Short,41700,1,20850,118.1,0.57,149.05,0.71,-0.95,0.00,9262.6,92.63
147,Exit short,2025-03-12 15:00:00,Trail,41220,1,20670,58.1,0.28,89.05,0.43,-0.95,0.00,9320.7,93.21
147,Entry short,2025-03-12 14:00:00,Short,41340,1,20670,58.1,0.28,89.05,0.43,-0.95,0.00,9320.7,93.21
