Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
60,Exit long,2024-10-04 16:00:00,TP,62250,0.001,61.5,0.74,1.21,0.75,1.21,-0.15,-0.25,14.2,1.42
60,Entry long,2024-10-04 12:00:00,Long,61500,0.001,61.5,0.74,1.21,0.75,1.21,-0.15,-0.25,14.2,1.42
61,Exit long,2024-10-11 15:00:00,TP,62250,0.001,61.5,0.74,1.21,0.75,1.21,-0.003,0.00,14.95,1.49
61,Entry long,2024-10-11 13:00:00,Long,61500,0.001,61.5,0.74,1.21,0.75,1.21,-0.003,0.00,14.95,1.49
62,Exit long,2024-10-14 03:00:00,TP,64200,0.001,63.45,0.74,1.17,0.75,1.18,-0.003,0.00,15.69,1.57
62,Entry long,2024-10-14 03:00:00,Long,63450,0.001,63.45,0.74,1.17,0.75,1.18,-0.003,0.00,15.69,1.57
63,Exit long,2024-10-14 14:00:00,TP,65550,0.001,64.8,0.74,1.15,0.75,1.15,-0.003,0.00,16.44,1.64
63,Entry long,2024-10-14 10:00:00,Long,64800,0.001,64.8,0.74,1.15,0.75,1.15,-0.003,0.00,16.44,1.64
64,Exit long,2024-10-15 13:00:00,TP,67050,0.001,66.3,0.74,1.12,0.75,1.13,-0.003,0.00,17.18,1.72
64,Entry long,2024-10-15 13:00:00,Long,66300,0.001,66.3,0.74,1.12,0.75,1.13,-0.003,0.00,17.18,1.72
65,Exit long,2024-10-15 14:00:00,SL,66750,0.001,67.05,-0.31,-0.46,0.45,0.67,-0.3,-0.45,16.87,1.69
65,Entry long,2024-10-15 13:00:00,Long,67050,0.001,67.05,-0.31,-0.46,0.45,0.67,-0.3,-0.45,16.87,1.69
66,Exit long,2024-10-17 11:00:00,SL,66900,0.001,67.2,-0.31,-0.46,0.66,0.97,-0.3,-0.45,16.57,1.66
66,Entry long,2024-10-16 01:00:00,Long,67200,0.001,67.2,-0.31,-0.46,0.66,0.97,-0.3,-0.45,16.57,1.66
67,Exit long,2024-10-18 14:00:00,TP,68250,0.001,67.5,0.74,1.10,0.75,1.11,-0.003,0.00,17.31,1.73
67,Entry long,2024-10-18 01:00:00,Long,67500,0.001,67.5,0.74,1.10,0.75,1.11,-0.003,0.00,17.31,1.73
68,Exit long,2024-10-25 04:00:00,SL,67800,0.001,68.1,-0.31,-0.45,0.15,0.22,-0.3,-0.45,17.01,1.70
68,Entry long,2024-10-24 19:00:00,Long,68100,0.001,68.1,-0.31,-0.45,0.15,0.22,-0.3,-0.45,17.01,1.70
69,Exit long,2024-10-28 18:00:00,TP,69000,0.001,68.25,0.74,1.09,0.75,1.09,-0.003,0.00,17.75,1.77
69,Entry long,2024-10-28 07:00:00,Long,68250,0.001,68.25,0.74,1.09,0.75,1.09,-0.003,0.00,17.75,1.77
70,Exit long,2024-10-29 18:00:00,TP,72900,0.001,72.15,0.74,1.03,0.75,1.03,-0.003,0.00,18.49,1.85
70,Entry long,2024-10-29 15:00:00,Long,72150,0.001,72.15,0.74,1.03,0.75,1.03,-0.003,0.00,18.49,1.85
71,Exit long,2024-10-30 21:00:00,SL,72450,0.001,72.75,-0.31,-0.42,0,0.00,-0.3,-0.42,18.19,1.82
71,Entry long,2024-10-30 20:00:00,Long,72750,0.001,72.75,-0.31,-0.42,0,0.00,-0.3,-0.42,18.19,1.82
72,Exit long,2024-11-05 13:00:00,TP,69900,0.001,69.15,0.74,1.08,0.75,1.08,-0.003,0.00,18.93,1.89
72,Entry long,2024-11-05 13:00:00,Long,69150,0.001,69.15,0.74,1.08,0.75,1.08,-0.003,0.00,18.93,1.89
73,Exit long,2024-11-05 23:00:00,TP,70800,0.001,70.05,0.74,1.06,0.75,1.07,-0.003,0.00,19.67,1.97
73,Entry long,2024-11-05 23:00:00,Long,70050,0.001,70.05,0.74,1.06,0.75,1.07,-0.003,0.00,19.67,1.97
74,Exit long,2024-11-06 18:00:00,TP,75450,0.001,74.7,0.74,0.99,0.75,1.00,-0.003,0.00,20.42,2.04
74,Entry long,2024-11-06 17:00:00,Long,74700,0.001,74.7,0.74,0.99,0.75,1.00,-0.003,0.00,20.42,2.04
75,Exit long,2024-11-07 02:00:00,SL,75300,0.001,75.6,-0.31,-0.41,0.45,0.59,-0.3,-0.40,20.11,2.01
75,Entry long,2024-11-06 18:00:00,Long,75600,0.001,75.6,-0.31,-0.41,0.45,0.59,-0.3,-0.40,20.11,2.01
76,Exit long,2024-11-08 17:00:00,TP,76800,0.001,76.05,0.74,0.98,0.75,0.98,-0.27,-0.35,20.85,2.09
76,Entry long,2024-11-07 14:00:00,Long,76050,0.001,76.05,0.74,0.98,0.75,0.98,-0.27,-0.35,20.85,2.09
77,Exit long,2024-11-11 00:00:00,TP,81000,0.001,80.25,0.74,0.93,0.75,0.93,-0.004,0.00,21.6,2.16
77,Entry long,2024-11-10 21:00:00,Long,80250,0.001,80.25,0.74,0.93,0.75,0.93,-0.004,0.00,21.6,2.16
78,Exit long,2024-11-11 13:00:00,TP,82350,0.001,81.6,0.74,0.91,0.75,0.91,-0.004,0.00,22.34,2.23
78,Entry long,2024-11-11 08:00:00,Long,81600,0.001,81.6,0.74,0.91,0.75,0.91,-0.004,0.00,22.34,2.23
79,Exit long,2024-11-11 14:00:00,TP,83400,0.001,82.65,0.74,0.90,0.75,0.90,-0.004,0.00,23.08,2.31
79,Entry long,2024-11-11 14:00:00,Long,82650,0.001,82.65,0.74,0.90,0.75,0.90,-0.004,0.00,23.08,2.31
80,Exit long,2024-11-12 08:00:00,SL,88650,0.001,88.95,-0.31,-0.35,0.6,0.67,-0.3,-0.34,22.77,2.28
80,Entry long,2024-11-12 05:00:00,Long,88950,0.001,88.95,-0.31,-0.35,0.6,0.67,-0.3,-0.34,22.77,2.28
81,Exit long,2024-11-12 19:00:00,TP,89250,0.001,88.5,0.74,0.84,0.75,0.84,-0.004,0.00,23.51,2.35
81,Entry long,2024-11-12 17:00:00,Long,88500,0.001,88.5,0.74,0.84,0.75,0.84,-0.004,0.00,23.51,2.35
82,Exit long,2024-11-13 13:00:00,TP,89400,0.001,88.65,0.74,0.84,0.75,0.84,-0.004,0.00,24.26,2.43
82,Entry long,2024-11-13 12:00:00,Long,88650,0.001,88.65,0.74,0.84,0.75,0.84,-0.004,0.00,24.26,2.43
83,Exit long,2024-11-14 12:00:00,SL,91050,0.001,91.35,-0.31,-0.34,0.15,0.16,-0.3,-0.33,23.95,2.39
83,Entry long,2024-11-14 10:00:00,Long,91350,0.001,91.35,-0.31,-0.34,0.15,0.16,-0.3,-0.33,23.95,2.39
84,Exit long,2024-11-15 12:00:00,TP,90150,0.001,89.4,0.74,0.83,0.75,0.83,-0.004,0.00,24.69,2.47
84,Entry long,2024-11-15 10:00:00,Long,89400,0.001,89.4,0.74,0.83,0.75,0.83,-0.004,0.00,24.69,2.47
85,Exit long,2024-11-15 18:00:00,TP,90300,0.001,89.55,0.74,0.83,0.75,0.83,-0.004,0.00,25.43,2.54
85,Entry long,2024-11-15 18:00:00,Long,89550,0.001,89.55,0.74,0.83,0.75,0.83,-0.004,0.00,25.43,2.54
86,Exit long,2024-11-18 05:00:00,TP,91950,0.001,91.2,0.74,0.81,0.75,0.82,-0.004,0.00,26.17,2.62
86,Entry long,2024-11-18 05:00:00,Long,91200,0.001,91.2,0.74,0.81,0.75,0.82,-0.004,0.00,26.17,2.62
87,Exit long,2024-11-18 14:00:00,TP,92250,0.001,91.5,0.74,0.81,0.75,0.82,-0.004,0.00,26.91,2.69
87,Entry long,2024-11-18 14:00:00,Long,91500,0.001,91.5,0.74,0.81,0.75,0.82,-0.004,0.00,26.91,2.69
88,Exit long,2024-11-18 22:00:00,SL,91200,0.001,91.5,-0.31,-0.34,0,0.00,-0.3,-0.33,26.61,2.66
88,Entry long,2024-11-18 19:00:00,Long,91500,0.001,91.5,-0.31,-0.34,0,0.00,-0.3,-0.33,26.61,2.66
89,Exit long,2024-11-19 11:00:00,TP,92250,0.001,91.5,0.74,0.81,0.75,0.82,-0.004,0.00,27.35,2.73
89,Entry long,2024-11-19 03:00:00,Long,91500,0.001,91.5,0.74,0.81,0.75,0.82,-0.004,0.00,27.35,2.73
90,Exit long,2024-11-19 17:00:00,TP,93000,0.001,92.25,0.74,0.80,0.75,0.81,-0.004,0.00,28.09,2.81
90,Entry long,2024-11-19 14:00:00,Long,92250,0.001,92.25,0.74,0.80,0.75,0.81,-0.004,0.00,28.09,2.81
91,Exit long,2024-11-20 11:00:00,TP,93600,0.001,92.85,0.74,0.80,0.75,0.80,-0.004,0.00,28.83,2.88
91,Entry long,2024-11-20 06:00:00,Long,92850,0.001,92.85,0.74,0.80,0.75,0.80,-0.004,0.00,28.83,2.88
92,Exit long,2024-11-21 01:00:00,SL,94500,0.001,94.8,-0.31,-0.33,0.01,0.01,-0.3,-0.32,28.52,2.85
92,Entry long,2024-11-20 23:00:00,Long,94800,0.001,94.8,-0.31,-0.33,0.01,0.01,-0.3,-0.32,28.52,2.85
93,Exit long,2024-11-21 11:00:00,SL,97650,0.001,97.95,-0.31,-0.32,0,0.00,-0.3,-0.31,28.21,2.82
93,Entry long,2024-11-21 10:00:00,Long,97950,0.001,97.95,-0.31,-0.32,0,0.00,-0.3,-0.31,28.21,2.82
94,Exit long,2024-11-22 01:00:00,TP,98550,0.001,97.8,0.74,0.76,0.75,0.76,-0.004,0.00,28.95,2.90
94,Entry long,2024-11-21 16:00:00,Long,97800,0.001,97.8,0.74,0.76,0.75,0.76,-0.004,0.00,28.95,2.90
95,Exit long,2024-11-23 01:00:00,SL,98700,0.001,99,-0.31,-0.31,0.3,0.30,-0.3,-0.31,28.64,2.86
95,Entry long,2024-11-22 17:00:00,Long,99000,0.001,99,-0.31,-0.31,0.3,0.30,-0.3,-0.31,28.64,2.86
96,Exit long,2024-11-25 12:00:00,SL,97800,0.001,98.1,-0.31,-0.31,0.45,0.45,-0.3,-0.31,28.33,2.83
96,Entry long,2024-11-25 04:00:00,Long,98100,0.001,98.1,-0.31,-0.31,0.45,0.45,-0.3,-0.31,28.33,2.83
97,Exit long,2024-11-26 16:00:00,SL,93750,0.001,94.05,-0.31,-0.33,0,0.00,-0.3,-0.32,28.03,2.80
97,Entry long,2024-11-26 15:00:00,Long,94050,0.001,94.05,-0.31,-0.33,0,0.00,-0.3,-0.32,28.03,2.80
98,Exit long,2024-11-27 12:00:00,TP,93900,0.001,93.15,0.74,0.80,0.75,0.80,-0.004,0.00,28.77,2.88
98,Entry long,2024-11-27 06:00:00,Long,93150,0.001,93.15,0.74,0.80,0.75,0.80,-0.004,0.00,28.77,2.88
99,Exit long,2024-11-29 01:00:00,TP,96600,0.001,95.85,0.74,0.77,0.75,0.78,-0.004,0.00,29.51,2.95
99,Entry long,2024-11-29 00:00:00,Long,95850,0.001,95.85,0.74,0.77,0.75,0.78,-0.004,0.00,29.51,2.95
100,Exit long,2024-11-29 13:00:00,TP,97350,0.001,96.6,0.74,0.77,0.75,0.77,-0.004,0.00,30.25,3.02
