Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
96,Entry long,2024-06-05 14:00:00,Long,1.6374,1000,1637.4,-0.2,-0.02,0.7,0.06,-0.1,-0.01,87.31,8.73
97,Exit short,2024-06-07 09:00:00,Close entry(s) order Short,1.6332,1000,1634.4,0.6,0.06,1.5,0.14,-0.1,-0.01,87.91,8.79
97,Entry short,2024-06-06 15:00:00,Short,1.6344,1000,1634.4,0.6,0.06,1.5,0.14,-0.1,-0.01,87.91,8.79
98,Exit short,2024-06-10 17:00:00,Close entry(s) order Short,1.6278,1000,1629.6,0.99,0.09,1.88,0.18,-0.1,-0.01,88.9,8.89
98,Entry short,2024-06-10 13:00:00,Short,1.6296,1000,1629.6,0.99,0.09,1.88,0.18,-0.1,-0.01,88.9,8.89
99,Exit short,2024-06-14 00:00:00,Close entry(s) order Short,1.6194,1000,1618.8,-0.59,-0.06,0.39,0.04,-0.5,-0.05,88.31,8.83
99,Entry short,2024-06-13 18:00:00,Short,1.6188,1000,1618.8,-0.59,-0.06,0.39,0.04,-0.5,-0.05,88.31,8.83
100,Exit short,2024-06-19 10:00:00,Close entry(s) order Short,1.6104,1000,1617,4.2,0.39,5.11,0.47,-0.1,-0.01,92.51,9.25
100,Entry short,2024-06-18 15:00:00,Short,1.617,1000,1617,4.2,0.39,5.11,0.47,-0.1,-0.01,92.51,9.25
101,Exit short,2024-06-28 20:00:00,Close entry(s) order Short,1.6056,1000,1605,-0.59,-0.06,0.3,0.03,-0.49,-0.05,91.92,9.19
101,Entry short,2024-06-28 13:00:00,Short,1.605,1000,1605,-0.59,-0.06,0.3,0.03,-0.49,-0.05,91.92,9.19
102,Exit long,2024-07-12 00:00:00,Close entry(s) order Long,1.6074,1000,1607.4,-0.2,-0.02,0.31,0.03,-0.5,-0.05,91.73,9.17
102,Entry long,2024-07-11 19:00:00,Long,1.6074,1000,1607.4,-0.2,-0.02,0.31,0.03,-0.5,-0.05,91.73,9.17
