Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
44,Exit short,2023-09-22 11:00:00,TP,1.6488,1000,1652.4,2.21,0.21,2.26,0.21,-0.05,0.00,4.49,0.45
44,Entry short,2023-09-22 09:00:00,Short,1.6524,1000,1652.4,2.21,0.21,2.26,0.21,-0.05,0.00,4.49,0.45
45,Exit short,2023-09-25 14:00:00,SL,1.6512,1000,1650.6,-0.48,-0.05,0.72,0.07,-0.44,-0.04,4,0.40
45,Entry short,2023-09-25 13:00:00,Short,1.6506,1000,1650.6,-0.48,-0.05,0.72,0.07,-0.44,-0.04,4,0.40
46,Exit short,2023-09-27 15:00:00,SL,1.6494,1000,1648.8,-0.48,-0.05,0.34,0.03,-0.43,-0.04,3.52,0.35
46,Entry short,2023-09-27 14:00:00,Short,1.6488,1000,1648.8,-0.48,-0.05,0.34,0.03,-0.43,-0.04,3.52,0.35
47,Exit short,2023-09-28 07:00:00,SL,1.6494,1000,1648.8,-0.48,-0.05,0.71,0.07,-0.43,-0.04,3.05,0.30
47,Entry short,2023-09-28 03:00:00,Short,1.6488,1000,1648.8,-0.48,-0.05,0.71,0.07,-0.43,-0.04,3.05,0.30
48,Exit short,2023-09-29 02:00:00,TP,1.6404,1000,1644,2.22,0.21,2.27,0.21,-0.42,-0.04,5.26,0.53
48,Entry short,2023-09-28 16:00:00,Short,1.644,1000,1644,2.22,0.21,2.27,0.21,-0.42,-0.04,5.26,0.53
49,Exit long,2023-10-01 21:00:00,SL,1.6434,1000,1644,-0.48,-0.05,0.34,0.03,-0.43,-0.04,4.78,0.48
49,Entry long,2023-09-29 19:00:00,Long,1.644,1000,1644,-0.48,-0.05,0.34,0.03,-0.43,-0.04,4.78,0.48
50,Exit long,2023-10-02 04:00:00,TP,1.6488,1000,1645.2,2.22,0.21,2.27,0.21,-0.05,0.00,7,0.70
50,Entry long,2023-10-02 02:00:00,Long,1.6452,1000,1645.2,2.22,0.21,2.27,0.21,-0.05,0.00,7,0.70
51,Exit long,2023-10-02 09:00:00,SL,1.6488,1000,1649.4,-0.48,-0.05,0.72,0.07,-0.43,-0.04,6.52,0.65
51,Entry long,2023-10-02 04:00:00,Long,1.6494,1000,1649.4,-0.48,-0.05,0.72,0.07,-0.43,-0.04,6.52,0.65
52,Exit long,2023-10-03 04:00:00,TP,1.6548,1000,1651.2,2.19,0.21,2.24,0.21,-0.05,0.00,8.71,0.87
52,Entry long,2023-10-03 04:00:00,Long,1.6512,1000,1651.2,2.19,0.21,2.24,0.21,-0.05,0.00,8.71,0.87
53,Exit short,2023-10-05 07:00:00,SL,1.6548,1000,1654.2,-0.48,-0.05,1.85,0.18,-0.43,-0.04,8.23,0.82
53,Entry short,2023-10-05 01:00:00,Short,1.6542,1000,1654.2,-0.48,-0.05,1.85,0.18,-0.43,-0.04,8.23,0.82
54,Exit short,2023-10-09 18:00:00,TP,1.65,1000,1653.6,2.2,0.21,2.25,0.21,-0.05,0.00,10.43,1.04
54,Entry short,2023-10-09 15:00:00,Short,1.6536,1000,1653.6,2.2,0.21,2.25,0.21,-0.05,0.00,10.43,1.04
55,Exit long,2023-10-12 14:00:00,TP,1.6614,1000,1657.8,2.21,0.21,2.26,0.21,-0.05,0.00,12.65,1.26
55,Entry long,2023-10-12 10:00:00,Long,1.6578,1000,1657.8,2.21,0.21,2.26,0.21,-0.05,0.00,12.65,1.26
56,Exit short,2023-10-17 12:00:00,SL,1.6626,1000,1662,-0.48,-0.05,1.85,0.18,-0.43,-0.04,12.17,1.22
56,Entry short,2023-10-17 00:00:00,Short,1.662,1000,1662,-0.48,-0.05,1.85,0.18,-0.43,-0.04,12.17,1.22
57,Exit short,2023-10-18 12:00:00,SL,1.6596,1000,1659,-0.48,-0.05,1.22,0.12,-0.43,-0.04,11.69,1.17
57,Entry short,2023-10-18 02:00:00,Short,1.659,1000,1659,-0.48,-0.05,1.22,0.12,-0.43,-0.04,11.69,1.17
58,Exit long,2023-10-19 01:00:00,TP,1.6704,1000,1666.8,2.18,0.21,2.23,0.21,-0.05,0.00,13.87,1.39
58,Entry long,2023-10-19 00:00:00,Long,1.6668,1000,1666.8,2.18,0.21,2.23,0.21,-0.05,0.00,13.87,1.39
59,Exit long,2023-10-20 02:00:00,SL,1.6734,1000,1674,-0.48,-0.05,0.33,0.03,-0.43,-0.04,13.4,1.34
59,Entry long,2023-10-20 00:00:00,Long,1.674,1000,1674,-0.48,-0.05,0.33,0.03,-0.43,-0.04,13.4,1.34
60,Exit long,2023-10-20 13:00:00,SL,1.6758,1000,1677,-0.86,-0.08,0.31,0.03,-0.81,-0.08,12.54,1.25
60,Entry long,2023-10-20 07:00:00,Long,1.677,1000,1677,-0.86,-0.08,0.31,0.03,-0.81,-0.08,12.54,1.25
61,Exit long,2023-10-23 01:00:00,SL,1.6758,1000,1677,-0.86,-0.08,0,0.00,-0.81,-0.08,11.68,1.17
61,Entry long,2023-10-23 00:00:00,Long,1.677,1000,1677,-0.86,-0.08,0,0.00,-0.81,-0.08,11.68,1.17
62,Exit long,2023-10-24 02:00:00,SL,1.6818,1000,1682.4,-0.48,-0.04,1.14,0.11,-0.43,-0.04,11.21,1.12
62,Entry long,2023-10-23 18:00:00,Long,1.6824,1000,1682.4,-0.48,-0.04,1.14,0.11,-0.43,-0.04,11.21,1.12
63,Exit short,2023-10-24 09:00:00,TP,1.6722,1000,1675.8,2.18,0.21,2.23,0.21,-0.05,0.00,13.39,1.34
63,Entry short,2023-10-24 07:00:00,Short,1.6758,1000,1675.8,2.18,0.21,2.23,0.21,-0.05,0.00,13.39,1.34
64,Exit short,2023-10-25 03:00:00,SL,1.6608,1000,1660.2,-0.48,-0.05,1.51,0.14,-0.43,-0.04,12.91,1.29
64,Entry short,2023-10-25 00:00:00,Short,1.6602,1000,1660.2,-0.48,-0.05,1.51,0.14,-0.43,-0.04,12.91,1.29
65,Exit long,2023-10-25 16:00:00,TP,1.6728,1000,1669.2,2.19,0.21,2.24,0.21,-0.05,0.00,15.1,1.51
65,Entry long,2023-10-25 13:00:00,Long,1.6692,1000,1669.2,2.19,0.21,2.24,0.21,-0.05,0.00,15.1,1.51
66,Exit long,2023-10-26 01:00:00,SL,1.6794,1000,1680,-0.48,-0.04,0,0.00,-0.43,-0.04,14.62,1.46
