Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
365,Exit long,2025-04-17 04:00:00,TP,1.7922,1000,1788.6,2.19,0.19,2.24,0.20,-0.82,-0.07,225,22.50
365,Entry long,2025-04-16 17:00:00,Long,1.7886,1000,1788.6,2.19,0.19,2.24,0.20,-0.82,-0.07,225,22.50
366,Exit short,2025-04-17 12:00:00,TP,1.7802,1000,1783.8,2.19,0.19,2.24,0.20,-0.05,0.00,227.18,22.72
366,Entry short,2025-04-17 12:00:00,Short,1.7838,1000,1783.8,2.19,0.19,2.24,0.20,-0.05,0.00,227.18,22.72
367,Exit long,2025-04-20 23:00:00,TP,1.7916,1000,1788,2.19,0.19,2.24,0.20,-0.82,-0.07,229.37,22.94
367,Entry long,2025-04-18 14:00:00,Long,1.788,1000,1788,2.19,0.19,2.24,0.20,-0.82,-0.07,229.37,22.94
368,Exit long,2025-04-21 02:00:00,TP,1.7958,1000,1792.2,2.19,0.19,2.24,0.20,-0.05,0.00,231.56,23.16
368,Entry long,2025-04-21 00:00:00,Long,1.7922,1000,1792.2,2.19,0.19,2.24,0.20,-0.05,0.00,231.56,23.16
369,Exit short,2025-04-22 10:00:00,SL,1.7952,1000,1791.6,-2.42,-0.21,0.33,0.03,-2.36,-0.21,229.15,22.91
369,Entry short,2025-04-22 06:00:00,Short,1.7916,1000,1791.6,-2.42,-0.21,0.33,0.03,-2.36,-0.21,229.15,22.91
370,Exit short,2025-04-22 21:00:00,TP,1.7856,1000,1789.2,2.19,0.19,2.24,0.20,-0.05,0.00,231.34,23.13
370,Entry short,2025-04-22 21:00:00,Short,1.7892,1000,1789.2,2.19,0.19,2.24,0.20,-0.05,0.00,231.34,23.13
371,Exit short,2025-04-23 13:00:00,TP,1.7712,1000,1774.8,2.19,0.19,2.24,0.20,-0.05,0.00,233.52,23.35
371,Entry short,2025-04-23 13:00:00,Short,1.7748,1000,1774.8,2.19,0.19,2.24,0.20,-0.05,0.00,233.52,23.35
372,Exit long,2025-04-23 15:00:00,TP,1.779,1000,1775.4,2.19,0.19,2.24,0.20,-0.05,0.00,235.71,23.57
372,Entry long,2025-04-23 15:00:00,Long,1.7754,1000,1775.4,2.19,0.19,2.24,0.20,-0.05,0.00,235.71,23.57
373,Exit long,2025-04-24 14:00:00,SL,1.7808,1000,1784.4,-2.39,-0.21,0.71,0.06,-2.34,-0.21,233.32,23.33
373,Entry long,2025-04-24 01:00:00,Long,1.7844,1000,1784.4,-2.39,-0.21,0.71,0.06,-2.34,-0.21,233.32,23.33
374,Exit short,2025-04-25 00:00:00,TP,1.7724,1000,1776,2.2,0.19,2.26,0.20,-0.05,0.00,235.52,23.55
374,Entry short,2025-04-25 00:00:00,Short,1.776,1000,1776,2.2,0.19,2.26,0.20,-0.05,0.00,235.52,23.55
375,Exit short,2025-04-25 05:00:00,SL,1.7718,1000,1768.2,-2.41,-0.21,1.49,0.13,-2.36,-0.21,233.11,23.31
