Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
7,Exit long,2023-08-06 22:00:00,[ExitL rA:60 hA:59 R:65 V:0.68 B:0.81 M:+ ST:U CH:24 CF:+ MI:73 SK:78 PS:U SQ:0],1.6752,1000,1675.8,-0.59,-0.05,0,0.00,-0.49,-0.04,5.83,0.58
7,Entry long,2023-08-06 22:00:00,[R001L rA:60 hA:57 R:74 V:0.45 B:0.98 M:+ ST:U CH:22 CF:+ MI:81 SK:100 PS:U SQ:0],1.6758,1000,1675.8,-0.59,-0.05,0,0.00,-0.49,-0.04,5.83,0.58
8,Exit short,2023-08-24 00:00:00,[ExitS rA:63 hA:33 R:26 V:0.96 B:0.19 M:- ST:D CH:11 CF:- MI:29 SK:15 PS:D SQ:0],1.6776,1000,1679.4,0.97,0.09,1.83,0.17,-0.1,-0.01,6.8,0.68
8,Entry short,2023-08-23 14:00:00,[R001S rA:44 hA:32 R:22 V:1.45 B:0.07 M:- ST:D CH:14 CF:- MI:35 SK:0 PS:D SQ:0],1.6794,1000,1679.4,0.97,0.09,1.83,0.17,-0.1,-0.01,6.8,0.68
9,Exit short,2023-09-14 23:00:00,[ExitS rA:47 hA:39 R:18 V:1.31 B:0.2 M:- ST:D CH:5 CF:- MI:9 SK:15 PS:D SQ:0],1.653,1000,1654.2,0.58,0.05,1.45,0.14,-0.1,-0.01,7.38,0.74
9,Entry short,2023-09-14 16:00:00,[R001S rA:37 hA:35 R:8 V:0.78 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],1.6542,1000,1654.2,0.58,0.05,1.45,0.14,-0.1,-0.01,7.38,0.74
10,Exit long,2023-10-22 23:00:00,[ExitL rA:33 hA:41 R:61 V:0.48 B:0.72 M:- ST:U CH:40 CF:+ MI:52 SK:64 PS:U SQ:0],1.6764,1000,1677,-0.57,-0.05,0.38,0.04,-0.47,-0.04,6.81,0.68
10,Entry long,2023-10-22 23:00:00,[R001L rA:33 hA:41 R:69 V:0.51 B:0.95 M:- ST:U CH:41 CF:+ MI:56 SK:100 PS:U SQ:0],1.677,1000,1677,-0.57,-0.05,0.38,0.04,-0.47,-0.04,6.81,0.68
11,Exit long,2023-10-24 02:00:00,[ExitL rA:37 hA:34 R:63 V:2.18 B:0.76 M:+ ST:U CH:22 CF:+ MI:51 SK:77 PS:U SQ:0],1.683,1000,1682.4,0.19,0.02,1.1,0.10,-0.1,-0.01,7,0.70
11,Entry long,2023-10-23 19:00:00,[R001L rA:38 hA:34 R:66 V:1.05 B:0.83 M:- ST:U CH:31 CF:+ MI:60 SK:86 PS:U SQ:0],1.6824,1000,1682.4,0.19,0.02,1.1,0.10,-0.1,-0.01,7,0.70
12,Exit long,2023-10-26 01:00:00,[ExitL rA:35 hA:44 R:82 V:0.69 B:0.8 M:+ ST:U CH:5 CF:+ MI:94 SK:85 PS:U SQ:0],1.68,1000,1672.8,4.35,0.41,5.2,0.49,-0.1,-0.01,11.35,1.14
12,Entry long,2023-10-25 17:00:00,[R001L rA:33 hA:43 R:84 V:1.15 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.6728,1000,1672.8,4.35,0.41,5.2,0.49,-0.1,-0.01,11.35,1.14
13,Exit short,2023-11-01 15:00:00,[ExitS rA:70 hA:38 R:20 V:0.83 B:0.2 M:- ST:D CH:5 CF:- MI:7 SK:15 PS:D SQ:0],1.6548,1000,1654.8,-0.19,-0.02,0.67,0.06,-0.09,-0.01,11.16,1.12
13,Entry short,2023-11-01 14:00:00,[R001S rA:63 hA:38 R:9 V:0.76 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],1.6548,1000,1654.8,-0.19,-0.02,0.67,0.06,-0.09,-0.01,11.16,1.12
