Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
81,Exit short,2023-11-17 13:00:00,SL,1.6722,1000,1671,-0.88,-0.08,0.73,0.07,-0.83,-0.08,31.81,3.18
81,Entry short,2023-11-17 10:00:00,Short,1.671,1000,1671,-0.88,-0.08,0.73,0.07,-0.83,-0.08,31.81,3.18
82,Exit short,2023-11-20 03:00:00,TP,1.6686,1000,1670.4,1.07,0.10,1.12,0.10,-0.05,0.00,32.89,3.29
82,Entry short,2023-11-20 02:00:00,Short,1.6704,1000,1670.4,1.07,0.10,1.12,0.10,-0.05,0.00,32.89,3.29
83,Exit short,2023-11-21 06:00:00,SL,1.668,1000,1666.8,-0.89,-0.08,0.74,0.07,-0.84,-0.08,32,3.20
83,Entry short,2023-11-21 00:00:00,Short,1.6668,1000,1666.8,-0.89,-0.08,0.74,0.07,-0.84,-0.08,32,3.20
84,Exit short,2023-11-23 08:00:00,SL,1.662,1000,1660.8,-0.89,-0.08,0,0.00,-0.84,-0.08,31.11,3.11
84,Entry short,2023-11-23 07:00:00,Short,1.6608,1000,1660.8,-0.89,-0.08,0,0.00,-0.84,-0.08,31.11,3.11
85,Exit short,2023-11-28 08:00:00,SL,1.656,1000,1654.8,-0.89,-0.08,0.64,0.06,-0.84,-0.08,30.22,3.02
85,Entry short,2023-11-28 02:00:00,Short,1.6548,1000,1654.8,-0.89,-0.08,0.64,0.06,-0.84,-0.08,30.22,3.02
86,Exit short,2023-11-28 16:00:00,TP,1.6524,1000,1654.2,1.09,0.10,1.14,0.10,-0.05,0.00,31.31,3.13
86,Entry short,2023-11-28 15:00:00,Short,1.6542,1000,1654.2,1.09,0.10,1.14,0.10,-0.05,0.00,31.31,3.13
87,Exit short,2023-12-04 02:00:00,SL,1.6308,1000,1629.6,-0.9,-0.08,0,0.00,-0.85,-0.08,30.41,3.04
87,Entry short,2023-12-04 02:00:00,Short,1.6296,1000,1629.6,-0.9,-0.08,0,0.00,-0.85,-0.08,30.41,3.04
88,Exit long,2023-12-04 18:00:00,TP,1.6374,1000,1635.6,1.1,0.10,1.15,0.11,-0.05,0.00,31.51,3.15
88,Entry long,2023-12-04 18:00:00,Long,1.6356,1000,1635.6,1.1,0.10,1.15,0.11,-0.05,0.00,31.51,3.15
89,Exit long,2023-12-05 13:00:00,TP,1.65,1000,1648.2,1.09,0.10,1.14,0.10,-0.05,0.00,32.6,3.26
89,Entry long,2023-12-05 11:00:00,Long,1.6482,1000,1648.2,1.09,0.10,1.14,0.10,-0.05,0.00,32.6,3.26
90,Exit short,2023-12-06 01:00:00,TP,1.6404,1000,1642.2,1.08,0.10,1.13,0.11,-0.05,0.00,33.68,3.37
90,Entry short,2023-12-06 01:00:00,Short,1.6422,1000,1642.2,1.08,0.10,1.13,0.11,-0.05,0.00,33.68,3.37
91,Exit long,2023-12-07 03:00:00,TP,1.6482,1000,1646.4,1.08,0.10,1.13,0.10,-0.05,0.00,34.76,3.48
91,Entry long,2023-12-07 02:00:00,Long,1.6464,1000,1646.4,1.08,0.10,1.13,0.10,-0.05,0.00,34.76,3.48
92,Exit short,2023-12-07 15:00:00,TP,1.6386,1000,1640.4,1.08,0.10,1.13,0.11,-0.05,0.00,35.84,3.58
92,Entry short,2023-12-07 10:00:00,Short,1.6404,1000,1640.4,1.08,0.10,1.13,0.11,-0.05,0.00,35.84,3.58
93,Exit short,2023-12-08 04:00:00,TP,1.6302,1000,1632,1.09,0.10,1.14,0.11,-0.05,0.00,36.93,3.69
93,Entry short,2023-12-08 04:00:00,Short,1.632,1000,1632,1.09,0.10,1.14,0.11,-0.05,0.00,36.93,3.69
94,Exit long,2023-12-11 01:00:00,TP,1.6416,1000,1639.8,1.08,0.10,1.13,0.11,-0.05,0.00,38.01,3.80
94,Entry long,2023-12-11 01:00:00,Long,1.6398,1000,1639.8,1.08,0.10,1.13,0.11,-0.05,0.00,38.01,3.80
95,Exit short,2023-12-12 08:00:00,SL,1.635,1000,1633.8,-0.89,-0.08,0.74,0.07,-0.84,-0.08,37.13,3.71
95,Entry short,2023-12-12 04:00:00,Short,1.6338,1000,1633.8,-0.89,-0.08,0.74,0.07,-0.84,-0.08,37.13,3.71
96,Exit long,2023-12-12 13:00:00,TP,1.6422,1000,1640.4,1.08,0.10,1.13,0.11,-0.05,0.00,38.21,3.82
96,Entry long,2023-12-12 13:00:00,Long,1.6404,1000,1640.4,1.08,0.10,1.13,0.11,-0.05,0.00,38.21,3.82
97,Exit short,2023-12-13 19:00:00,TP,1.638,1000,1639.8,1.08,0.10,1.13,0.11,-0.05,0.00,39.29,3.93
97,Entry short,2023-12-13 19:00:00,Short,1.6398,1000,1639.8,1.08,0.10,1.13,0.11,-0.05,0.00,39.29,3.93
98,Exit short,2023-12-13 19:00:00,TP,1.6356,1000,1637.4,1.08,0.10,1.13,0.11,-0.05,0.00,40.37,4.04
