Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
166,Exit short,2025-10-20 03:00:00,[ExitS rA:65 R:22 V:1.13 B:0.2 M:- ST:D CH:5 CF:- MI:7 SK:15 PS:D SQ:0],1.7928,1000,1799.4,4.08,0.35,4.96,0.42,-0.11,-0.01,279.8,27.98
166,Entry short,2025-10-17 17:00:00,[R001S rA:64 R:25 V:0.84 B:0.1 M:- ST:D CH:11 CF:- MI:22 SK:0 PS:D SQ:0],1.7994,1000,1799.4,4.08,0.35,4.96,0.42,-0.11,-0.01,279.8,27.98
167,Exit short,2025-10-21 03:00:00,[ExitS rA:63 R:26 V:1.14 B:0.19 M:- ST:D CH:5 CF:- MI:9 SK:15 PS:D SQ:0],1.7874,1000,1792.2,2.92,0.25,3.8,0.33,-0.1,-0.01,282.72,28.27
167,Entry short,2025-10-20 14:00:00,[R001S rA:43 R:30 V:0.35 B:0.17 M:+ ST:D CH:31 CF:+ MI:65 SK:14 PS:D SQ:0],1.7922,1000,1792.2,2.92,0.25,3.8,0.33,-0.1,-0.01,282.72,28.27
168,Exit short,2025-10-29 08:00:00,[ExitS rA:56 R:18 V:1.41 B:0.2 M:- ST:D CH:5 CF:- MI:11 SK:21 PS:D SQ:0],1.761,1000,1772.4,7.3,0.63,8.56,0.73,-0.1,-0.01,290.01,29.00
168,Entry short,2025-10-28 15:00:00,[R001S rA:48 R:26 V:0.47 B:0 M:- ST:D CH:8 CF:- MI:21 SK:0 PS:D SQ:0],1.7724,1000,1772.4,7.3,0.63,8.56,0.73,-0.1,-0.01,290.01,29.00
169,Exit short,2025-11-05 20:00:00,[ExitS rA:71 R:32 V:2.97 B:0.18 M:- ST:D CH:5 CF:+ MI:24 SK:15 PS:D SQ:0],1.7652,1000,1764.6,-0.6,-0.05,0,0.00,-0.49,-0.04,289.42,28.94
169,Entry short,2025-11-05 19:00:00,[R001S rA:32 R:22 V:0.59 B:0.03 M:- ST:D CH:3 CF:- MI:0 SK:0 PS:D SQ:0],1.7646,1000,1764.6,-0.6,-0.05,0,0.00,-0.49,-0.04,289.42,28.94
170,Exit long,2025-11-06 17:00:00,[ExitL rA:67 R:80 V:1.58 B:0.8 M:+ ST:U CH:5 CF:+ MI:85 SK:85 PS:U SQ:0],1.7826,1000,1776.6,3.7,0.32,4.58,0.40,-0.1,-0.01,293.11,29.31
170,Entry long,2025-11-06 14:00:00,[R001L rA:34 R:82 V:0.34 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.7766,1000,1776.6,3.7,0.32,4.58,0.40,-0.1,-0.01,293.11,29.31
171,Exit long,2025-11-07 17:00:00,[ExitL rA:63 R:70 V:0.84 B:0.82 M:+ ST:U CH:5 CF:+ MI:94 SK:85 PS:U SQ:0],1.7868,1000,1783.8,1.74,0.15,2.62,0.23,-0.1,-0.01,294.85,29.48
171,Entry long,2025-11-07 14:00:00,[R001L rA:39 R:68 V:1.37 B:0.99 M:+ ST:U CH:27 CF:+ MI:82 SK:100 PS:U SQ:0],1.7838,1000,1783.8,1.74,0.15,2.62,0.23,-0.1,-0.01,294.85,29.48
172,Exit short,2025-11-12 05:00:00,[ExitS rA:34 R:54 V:1.38 B:0.61 M:+ ST:D CH:30 CF:+ MI:79 SK:50 PS:D SQ:0],1.7748,1000,1774.8,-0.21,-0.02,0.48,0.04,-0.5,-0.04,294.64,29.46
172,Entry short,2025-11-11 22:00:00,[R001S rA:33 R:48 V:0.67 B:0.48 M:+ ST:D CH:24 CF:+ MI:73 SK:33 PS:D SQ:0],1.7748,1000,1774.8,-0.21,-0.02,0.48,0.04,-0.5,-0.04,294.64,29.46
173,Exit long,2025-11-14 01:00:00,[ExitL rA:42 R:76 V:2.43 B:0.8 M:+ ST:U CH:5 CF:+ MI:84 SK:81 PS:U SQ:0],1.7808,1000,1777.2,2.14,0.18,3.28,0.28,-0.1,-0.01,296.78,29.68
173,Entry long,2025-11-13 17:00:00,[R001L rA:33 R:78 V:1.2 B:0.92 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.7772,1000,1777.2,2.14,0.18,3.28,0.28,-0.1,-0.01,296.78,29.68
174,Exit long,2025-11-20 19:00:00,[ExitL rA:52 R:74 V:0.79 B:0.8 M:+ ST:U CH:5 CF:+ MI:92 SK:85 PS:U SQ:0],1.7886,1000,1786.2,1.35,0.12,2.23,0.19,-0.1,-0.01,298.13,29.81
174,Entry long,2025-11-20 16:00:00,[R001L rA:34 R:76 V:0.36 B:0.94 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.7862,1000,1786.2,1.35,0.12,2.23,0.19,-0.1,-0.01,298.13,29.81
175,Exit short,2025-11-30 22:00:00,[ExitS rA:27 R:36 V:0.89 B:0.2 M:+ ST:D CH:35 CF:- MI:41 SK:25 PS:D SQ:0],1.7718,1000,1771.2,-0.6,-0.05,0,0.00,-0.5,-0.04,297.53,29.75
175,Entry short,2025-11-30 22:00:00,[R001S rA:29 R:27 V:0.99 B:-0.02 M:- ST:D CH:33 CF:- MI:37 SK:0 PS:D SQ:0],1.7712,1000,1771.2,-0.6,-0.05,0,0.00,-0.5,-0.04,297.53,29.75
176,Exit short,2025-12-05 04:00:00,[ExitS rA:48 R:36 V:0.7 B:0.2 M:- ST:D CH:28 CF:- MI:40 SK:22 PS:D SQ:0],1.7616,1000,1761.6,-0.21,-0.02,0,0.00,-0.5,-0.04,297.32,29.73
176,Entry short,2025-12-04 23:00:00,[R001S rA:48 R:28 V:1.47 B:-0.03 M:- ST:D CH:25 CF:- MI:36 SK:0 PS:D SQ:0],1.7616,1000,1761.6,-0.21,-0.02,0,0.00,-0.5,-0.04,297.32,29.73
177,Exit short,2025-12-09 22:00:00,[ExitS rA:33 R:35 V:1.41 B:0.18 M:- ST:D CH:15 CF:+ MI:28 SK:16 PS:D SQ:0],1.7508,1000,1750.8,-0.21,-0.02,0.29,0.03,-0.5,-0.04,297.11,29.71
177,Entry short,2025-12-09 16:00:00,[R001S rA:33 R:28 V:1.15 B:0 M:- ST:D CH:20 CF:+ MI:51 SK:0 PS:D SQ:0],1.7508,1000,1750.8,-0.21,-0.02,0.29,0.03,-0.5,-0.04,297.11,29.71
178,Exit long,2025-12-12 21:00:00,[ExitL rA:45 R:69 V:4.35 B:0.82 M:+ ST:U CH:5 CF:- MI:62 SK:79 PS:U SQ:0],1.7652,1000,1765.2,-0.21,-0.02,1.04,0.09,-0.11,-0.01,296.9,29.69
