Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
37,Exit long,2025-11-07 07:00:00,[ExitL 5A:32 bA:32 R:68 V:2.1 B:0.81 M:+ ST:U CH:5 CF:+ MI:80 SK:85 PS:U SQ:0],201.5,1000,201500,-0.13,-0.01,0.59,0.04,-0.07,0.00,88.8,8.88
37,Entry long,2025-11-07 06:00:00,[R001L 5A:26 bA:26 R:75 V:1.16 B:0.98 M:+ ST:U CH:3 CF:- MI:89 SK:100 PS:U SQ:0],201.5,1000,201500,-0.13,-0.01,0.59,0.04,-0.07,0.00,88.8,8.88
38,Exit long,2025-11-10 02:00:00,[ExitL 5A:79 bA:79 R:84 V:1.27 B:0.8 M:+ ST:U CH:8 CF:+ MI:89 SK:85 PS:U SQ:0],203,1000,202200,5.08,0.39,5.8,0.44,-0.42,-0.03,93.88,9.39
38,Entry long,2025-11-09 17:00:00,[R001L 5A:52 bA:52 R:86 V:1.01 B:0.95 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],202.2,1000,202200,5.08,0.39,5.8,0.44,-0.42,-0.03,93.88,9.39
39,Exit short,2025-11-10 09:00:00,[ExitS 5A:43 bA:43 R:46 V:1.23 B:0.16 M:- ST:D CH:16 CF:- MI:35 SK:18 PS:D SQ:0],202.65,1000,202800,0.85,0.06,1.56,0.12,-0.07,0.00,94.73,9.47
39,Entry short,2025-11-10 07:00:00,[R001S 5A:60 bA:60 R:54 V:0.54 B:0.2 M:- ST:D CH:39 CF:- MI:33 SK:0 PS:D SQ:0],202.8,1000,202800,0.85,0.06,1.56,0.12,-0.07,0.00,94.73,9.47
40,Exit long,2025-11-10 21:00:00,[ExitL 5A:36 bA:36 R:65 V:0.98 B:0.82 M:+ ST:U CH:12 CF:+ MI:90 SK:85 PS:U SQ:0],203.1,1000,202650,2.79,0.21,3.5,0.27,-0.07,0.00,97.51,9.75
40,Entry long,2025-11-10 09:00:00,[R002L 5A:43 bA:43 R:46 V:1.23 B:0.16 M:- ST:D CH:16 CF:- MI:35 SK:18 PS:D SQ:0],202.65,1000,202650,2.79,0.21,3.5,0.27,-0.07,0.00,97.51,9.75
41,Exit long,2025-11-13 10:00:00,[ExitL 5A:38 bA:38 R:66 V:2.13 B:0.79 M:+ ST:U CH:27 CF:+ MI:52 SK:77 PS:U SQ:0],203.85,1000,203850,-0.13,-0.01,0.58,0.04,-0.07,0.00,97.38,9.74
41,Entry long,2025-11-13 08:00:00,[R001L 5A:35 bA:35 R:71 V:0.91 B:0.94 M:+ ST:U CH:28 CF:+ MI:62 SK:100 PS:U SQ:0],203.85,1000,203850,-0.13,-0.01,0.58,0.04,-0.07,0.00,97.38,9.74
42,Exit long,2025-11-14 07:00:00,[ExitL 5A:27 bA:27 R:45 V:2.01 B:0.46 M:+ ST:U CH:31 CF:- MI:60 SK:71 PS:U SQ:0],203,1000,203050,-0.45,-0.03,0.26,0.02,-0.39,-0.03,96.93,9.69
42,Entry long,2025-11-14 06:00:00,[R001L 5A:31 bA:31 R:48 V:0.84 B:0.48 M:+ ST:U CH:19 CF:+ MI:64 SK:67 PS:U SQ:0],203.05,1000,203050,-0.45,-0.03,0.26,0.02,-0.39,-0.03,96.93,9.69
43,Exit short,2025-11-16 23:00:00,[ExitS 5A:30 bA:30 R:62 V:0.25 B:0.77 M:+ ST:U CH:23 CF:- MI:52 SK:80 PS:D SQ:0],203.45,1000,203450,-0.13,-0.01,0.58,0.04,-0.09,-0.01,96.79,9.68
43,Entry short,2025-11-16 17:00:00,[R002S 5A:29 bA:29 R:64 V:1.28 B:0.82 M:+ ST:U CH:16 CF:+ MI:68 SK:83 PS:U SQ:0],203.45,1000,203450,-0.13,-0.01,0.58,0.04,-0.09,-0.01,96.79,9.68
44,Exit long,2025-11-17 09:00:00,[ExitL 5A:62 bA:62 R:77 V:1.87 B:0.81 M:+ ST:U CH:5 CF:+ MI:87 SK:81 PS:U SQ:0],204.4,1000,204150,1.48,0.11,2.37,0.18,-0.07,0.00,98.28,9.83
44,Entry long,2025-11-17 07:00:00,[R001L 5A:49 bA:49 R:81 V:0.24 B:0.94 M:+ ST:U CH:12 CF:+ MI:87 SK:100 PS:U SQ:0],204.15,1000,204150,1.48,0.11,2.37,0.18,-0.07,0.00,98.28,9.83
45,Exit long,2025-11-18 13:00:00,[ExitL 5A:32 bA:32 R:64 V:2.26 B:0.84 M:+ ST:U CH:24 CF:+ MI:62 SK:80 PS:U SQ:0],204.5,1000,204450,0.19,0.01,0.9,0.07,-0.07,0.00,98.47,9.85
45,Entry long,2025-11-18 09:00:00,[R001L 5A:26 bA:26 R:66 V:0.59 B:0.96 M:+ ST:U CH:37 CF:+ MI:63 SK:100 PS:U SQ:0],204.45,1000,204450,0.19,0.01,0.9,0.07,-0.07,0.00,98.47,9.85
46,Exit long,2025-11-19 07:00:00,[ExitL 5A:51 bA:51 R:76 V:0.4 B:0.8 M:+ ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],205.2,1000,205050,0.83,0.06,1.54,0.12,-0.07,0.00,99.3,9.93
46,Entry long,2025-11-19 06:00:00,[R001L 5A:39 bA:39 R:81 V:0.55 B:0.94 M:+ ST:U CH:3 CF:+ MI:100 SK:100 PS:U SQ:0],205.05,1000,205050,0.83,0.06,1.54,0.12,-0.07,0.00,99.3,9.93
47,Exit short,2025-11-19 13:00:00,[ExitS 5A:33 bA:33 R:49 V:5.29 B:0.21 M:- ST:D CH:14 CF:+ MI:68 SK:18 PS:D SQ:0],204.85,1000,205200,2.12,0.16,2.83,0.21,-0.07,0.00,101.42,10.14
47,Entry short,2025-11-19 07:00:00,[R002S 5A:51 bA:51 R:76 V:0.4 B:0.8 M:+ ST:U CH:5 CF:+ MI:97 SK:85 PS:U SQ:0],205.2,1000,205200,2.12,0.16,2.83,0.21,-0.07,0.00,101.42,10.14
48,Exit long,2025-11-19 15:00:00,[ExitL 5A:29 bA:29 R:61 V:0.32 B:0.73 M:+ ST:U CH:18 CF:+ MI:89 SK:80 PS:U SQ:0],205.15,1000,205050,0.5,0.04,1.22,0.09,-0.07,0.00,101.92,10.19
48,Entry long,2025-11-19 13:00:00,[R001L 5A:28 bA:28 R:61 V:0.98 B:0.54 M:- ST:U CH:19 CF:+ MI:75 SK:67 PS:U SQ:0],205.05,1000,205050,0.5,0.04,1.22,0.09,-0.07,0.00,101.92,10.19
49,Exit short,2025-11-19 17:00:00,[ExitS 5A:27 bA:27 R:59 V:1.09 B:0.76 M:- ST:D CH:20 CF:+ MI:86 SK:80 PS:U SQ:0],205.15,1000,205150,-0.13,-0.01,0.57,0.04,-0.07,0.00,101.79,10.18
