Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
355,Exit short,2026-04-06 07:38:18,Close entry(s) order Short,46875,1,23430,-9.4,-0.04,6.55,0.03,-8.45,-0.04,14708,147.08
355,Entry short,2026-04-06 07:38:14,Short,46860,1,23430,-9.4,-0.04,6.55,0.03,-8.45,-0.04,14708,147.08
356,Exit short,2026-04-06 08:05:21,Close entry(s) order Short,46800,1,23392.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,14698.6,146.99
356,Entry short,2026-04-06 08:03:20,Short,46785,1,23392.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,14698.6,146.99
357,Exit short,2026-04-06 10:06:40,Close entry(s) order Short,46800,1,23400,-1.9,-0.01,11.55,0.05,-8.45,-0.04,14696.7,146.97
357,Entry short,2026-04-06 10:02:55,Short,46800,1,23400,-1.9,-0.01,11.55,0.05,-8.45,-0.04,14696.7,146.97
358,Exit short,2026-04-06 10:54:25,Close entry(s) order Short,46755,1,23377.5,-1.9,-0.01,0,0.00,-8.45,-0.04,14694.8,146.95
358,Entry short,2026-04-06 10:52:41,Short,46755,1,23377.5,-1.9,-0.01,0,0.00,-8.45,-0.04,14694.8,146.95
359,Exit short,2026-04-06 12:04:15,Close entry(s) order Short,46845,1,23415,-9.4,-0.04,10.05,0.04,-8.45,-0.04,14685.4,146.85
359,Entry short,2026-04-06 11:45:31,Short,46830,1,23415,-9.4,-0.04,10.05,0.04,-8.45,-0.04,14685.4,146.85
360,Exit short,2026-04-06 21:25:40,Close entry(s) order Short,46770,1,23377.5,-9.4,-0.04,0,0.00,-8.45,-0.04,14676,146.76
360,Entry short,2026-04-06 21:23:49,Short,46755,1,23377.5,-9.4,-0.04,0,0.00,-8.45,-0.04,14676,146.76
361,Exit long,2026-04-06 22:30:22,Close entry(s) order Long,46785,1,23392.5,-1.9,-0.01,15.55,0.07,-9.95,-0.04,14674.1,146.74
361,Entry long,2026-04-06 21:34:29,Long,46785,1,23392.5,-1.9,-0.01,15.55,0.07,-9.95,-0.04,14674.1,146.74
