Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
52,Entry short,2024-05-03 03:00:00,[R001S rA:42 hA:35 PS:D CD:30],1.632,1000,1632,-0.19,-0.02,0,0.00,-0.49,-0.05,76.23,7.62
53,Exit short,2024-05-07 02:00:00,[ExitS rA:54 hA:27 PS:D CD:30],1.6248,1000,1626,0.6,0.06,1.49,0.14,-0.1,-0.01,76.83,7.68
53,Entry short,2024-05-07 00:00:00,[R002S rA:43 hA:30 PS:D CD:30],1.626,1000,1626,0.6,0.06,1.49,0.14,-0.1,-0.01,76.83,7.68
54,Exit long,2024-06-13 08:00:00,[ExitL rA:56 hA:29 PS:U CD:30],1.6254,1000,1620,3.4,0.32,4.3,0.40,-0.1,-0.01,80.23,8.02
54,Entry long,2024-06-12 19:00:00,[R001L rA:43 hA:28 PS:U CD:30],1.62,1000,1620,3.4,0.32,4.3,0.40,-0.1,-0.01,80.23,8.02
55,Exit short,2024-06-19 10:00:00,[ExitS rA:54 hA:41 PS:D CD:30],1.6104,1000,1609.8,-0.59,-0.06,0.32,0.03,-0.5,-0.05,79.64,7.96
55,Entry short,2024-06-19 06:00:00,[R001S rA:54 hA:26 PS:D CD:30],1.6098,1000,1609.8,-0.59,-0.06,0.32,0.03,-0.5,-0.05,79.64,7.96
56,Exit short,2024-06-26 10:00:00,[ExitS rA:51 hA:26 PS:D CD:30],1.602,1000,1601.4,-0.59,-0.06,0,0.00,-0.49,-0.05,79.05,7.90
56,Entry short,2024-06-26 08:00:00,[R001S rA:48 hA:26 PS:D CD:30],1.6014,1000,1601.4,-0.59,-0.06,0,0.00,-0.49,-0.05,79.05,7.90
57,Exit long,2024-07-18 01:00:00,[ExitL rA:32 hA:29 PS:U CD:30],1.6254,1000,1622.4,1.82,0.17,2.73,0.25,-0.1,-0.01,80.87,8.09
57,Entry long,2024-07-17 12:00:00,[R001L rA:40 hA:32 PS:U CD:30],1.6224,1000,1622.4,1.82,0.17,2.73,0.25,-0.1,-0.01,80.87,8.09
58,Exit long,2024-07-22 09:00:00,[ExitL rA:68 hA:34 PS:U CD:30],1.6332,1000,1630.2,1.81,0.17,2.31,0.21,-0.1,-0.01,82.68,8.27
