Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
13,Exit short,2025-05-05 18:00:00,Session End,41325,1,20700,35.6,0.17,36.55,0.18,-0.95,0.00,1070.3,10.70
13,Entry short,2025-05-05 12:00:00,Short,41400,1,20700,35.6,0.17,36.55,0.18,-0.95,0.00,1070.3,10.70
14,Exit long,2025-05-06 08:00:00,Close entry(s) order Long,41115,1,20520,35.6,0.17,51.55,0.25,-0.95,0.00,1105.9,11.06
14,Entry long,2025-05-06 07:00:00,Long,41040,1,20520,35.6,0.17,51.55,0.25,-0.95,0.00,1105.9,11.06
15,Exit short,2025-05-07 01:00:00,Close entry(s) order Short,41130,1,20557.5,-9.4,-0.05,6.55,0.03,-8.45,-0.04,1096.5,10.97
15,Entry short,2025-05-06 23:00:00,Short,41115,1,20557.5,-9.4,-0.05,6.55,0.03,-8.45,-0.04,1096.5,10.97
16,Exit short,2025-05-08 11:00:00,Close entry(s) order Short,41685,1,20872.5,28.1,0.13,44.05,0.21,-0.95,0.00,1124.6,11.25
16,Entry short,2025-05-08 10:00:00,Short,41745,1,20872.5,28.1,0.13,44.05,0.21,-0.95,0.00,1124.6,11.25
17,Exit long,2025-05-09 00:00:00,Close entry(s) order Long,41460,1,20737.5,-9.4,-0.05,0,0.00,-8.45,-0.04,1115.2,11.15
17,Entry long,2025-05-08 23:00:00,Long,41475,1,20737.5,-9.4,-0.05,0,0.00,-8.45,-0.04,1115.2,11.15
18,Exit long,2025-05-12 13:00:00,Session End,42495,1,21150,95.6,0.45,96.55,0.46,-0.95,0.00,1210.8,12.11
18,Entry long,2025-05-12 09:00:00,Long,42300,1,21150,95.6,0.45,96.55,0.46,-0.95,0.00,1210.8,12.11
19,Exit long,2025-05-15 11:00:00,Close entry(s) order Long,42300,1,20977.5,170.6,0.81,179.05,0.85,-0.95,0.00,1381.4,13.81
19,Entry long,2025-05-15 02:00:00,Long,41955,1,20977.5,170.6,0.81,179.05,0.85,-0.95,0.00,1381.4,13.81
20,Exit long,2025-05-19 16:00:00,Session End,42885,1,21232.5,208.1,0.98,209.05,0.98,-0.95,0.00,1589.5,15.90
20,Entry long,2025-05-19 04:00:00,Long,42465,1,21232.5,208.1,0.98,209.05,0.98,-0.95,0.00,1589.5,15.90
21,Exit long,2025-05-23 12:00:00,Close entry(s) order Long,41760,1,20745,133.1,0.64,150.55,0.73,-0.95,0.00,1722.6,17.23
21,Entry long,2025-05-23 06:00:00,Long,41490,1,20745,133.1,0.64,150.55,0.73,-0.95,0.00,1722.6,17.23
22,Exit long,2025-05-27 13:00:00,Session End,42435,1,21067.5,148.1,0.70,149.05,0.71,-0.95,0.00,1870.7,18.71
22,Entry long,2025-05-27 07:00:00,Long,42135,1,21067.5,148.1,0.70,149.05,0.71,-0.95,0.00,1870.7,18.71
23,Exit long,2025-05-29 15:00:00,Close entry(s) order Long,42240,1,21030,88.1,0.42,104.05,0.49,-0.95,0.00,1958.8,19.59
23,Entry long,2025-05-29 09:00:00,Long,42060,1,21030,88.1,0.42,104.05,0.49,-0.95,0.00,1958.8,19.59
24,Exit long,2025-06-01 15:00:00,Close entry(s) order Long,42255,1,21067.5,58.1,0.28,76.05,0.36,-0.95,0.00,2016.9,20.17
24,Entry long,2025-05-30 11:00:00,Long,42135,1,21067.5,58.1,0.28,76.05,0.36,-0.95,0.00,2016.9,20.17
25,Exit long,2025-06-02 16:00:00,Close entry(s) order Long,42345,1,21067.5,103.1,0.49,121.55,0.58,-0.95,0.00,2120,21.20
25,Entry long,2025-06-02 07:00:00,Long,42135,1,21067.5,103.1,0.49,121.55,0.58,-0.95,0.00,2120,21.20
26,Exit long,2025-06-05 03:00:00,Close entry(s) order Long,42540,1,21277.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,2110.6,21.11
26,Entry long,2025-06-05 00:00:00,Long,42555,1,21277.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,2110.6,21.11
27,Exit short,2025-06-05 10:00:00,Close entry(s) order Short,42495,1,21262.5,13.1,0.06,29.05,0.14,-0.95,0.00,2123.7,21.24
27,Entry short,2025-06-05 09:00:00,Short,42525,1,21262.5,13.1,0.06,29.05,0.14,-0.95,0.00,2123.7,21.24
28,Exit short,2025-06-06 10:00:00,Close entry(s) order Short,42705,1,21412.5,58.1,0.27,74.05,0.35,-0.95,0.00,2181.8,21.82
28,Entry short,2025-06-06 07:00:00,Short,42825,1,21412.5,58.1,0.27,74.05,0.35,-0.95,0.00,2181.8,21.82
29,Exit long,2025-06-09 12:00:00,Close entry(s) order Long,42855,1,21390,35.6,0.17,54.55,0.26,-0.95,0.00,2217.4,22.17
29,Entry long,2025-06-09 09:00:00,Long,42780,1,21390,35.6,0.17,54.55,0.26,-0.95,0.00,2217.4,22.17
30,Exit long,2025-06-10 10:00:00,Close entry(s) order Long,42885,1,21420,20.6,0.10,36.55,0.17,-0.95,0.00,2238,22.38
30,Entry long,2025-06-10 09:00:00,Long,42840,1,21420,20.6,0.10,36.55,0.17,-0.95,0.00,2238,22.38
31,Exit short,2025-06-13 07:00:00,Close entry(s) order Short,42390,1,21240,43.1,0.20,59.05,0.28,-0.95,0.00,2281.1,22.81
31,Entry short,2025-06-13 06:00:00,Short,42480,1,21240,43.1,0.20,59.05,0.28,-0.95,0.00,2281.1,22.81
32,Exit short,2025-06-16 15:00:00,Session End,42855,1,21457.5,28.1,0.13,29.05,0.14,-0.95,0.00,2309.2,23.09
32,Entry short,2025-06-16 10:00:00,Short,42915,1,21457.5,28.1,0.13,29.05,0.14,-0.95,0.00,2309.2,23.09
33,Exit short,2025-06-17 15:00:00,Session End,42540,1,21345,73.1,0.34,74.05,0.35,-0.95,0.00,2382.3,23.82
33,Entry short,2025-06-17 10:00:00,Short,42690,1,21345,73.1,0.34,74.05,0.35,-0.95,0.00,2382.3,23.82
34,Exit short,2025-06-18 04:00:00,Close entry(s) order Short,42555,1,21270,-9.4,-0.04,6.55,0.03,-8.45,-0.04,2372.9,23.73
34,Entry short,2025-06-18 03:00:00,Short,42540,1,21270,-9.4,-0.04,6.55,0.03,-8.45,-0.04,2372.9,23.73
35,Exit short,2025-06-18 15:00:00,Session End,42510,1,21360,103.1,0.48,104.05,0.49,-0.95,0.00,2476,24.76
35,Entry short,2025-06-18 08:00:00,Short,42720,1,21360,103.1,0.48,104.05,0.49,-0.95,0.00,2476,24.76
36,Exit short,2025-06-24 07:00:00,Close entry(s) order Short,43215,1,21600,-9.4,-0.04,12.05,0.06,-8.45,-0.04,2466.6,24.67
36,Entry short,2025-06-24 07:00:00,Short,43200,1,21600,-9.4,-0.04,12.05,0.06,-8.45,-0.04,2466.6,24.67
37,Exit short,2025-06-27 12:00:00,Close entry(s) order Short,43950,1,22065,88.1,0.40,104.05,0.47,-0.95,0.00,2554.7,25.55
37,Entry short,2025-06-27 10:00:00,Short,44130,1,22065,88.1,0.40,104.05,0.47,-0.95,0.00,2554.7,25.55
38,Exit short,2025-07-02 08:00:00,Close entry(s) order Short,44745,1,22432.5,58.1,0.26,74.05,0.33,-14.45,-0.06,2612.8,26.13
38,Entry short,2025-07-02 05:00:00,Short,44865,1,22432.5,58.1,0.26,74.05,0.33,-14.45,-0.06,2612.8,26.13
39,Exit long,2025-07-09 07:00:00,Close entry(s) order Long,44700,1,22275,73.1,0.33,89.05,0.40,-0.95,0.00,2685.9,26.86
39,Entry long,2025-07-09 02:00:00,Long,44550,1,22275,73.1,0.33,89.05,0.40,-0.95,0.00,2685.9,26.86
40,Exit long,2025-07-14 15:00:00,Close entry(s) order Long,44655,1,22237.5,88.1,0.40,104.05,0.47,-12.95,-0.06,2774,27.74
40,Entry long,2025-07-14 06:00:00,Long,44475,1,22237.5,88.1,0.40,104.05,0.47,-12.95,-0.06,2774,27.74
41,Exit long,2025-07-20 16:00:00,Session End,44550,1,22267.5,5.6,0.03,6.55,0.03,-0.95,0.00,2779.6,27.80
41,Entry long,2025-07-20 15:00:00,Long,44535,1,22267.5,5.6,0.03,6.55,0.03,-0.95,0.00,2779.6,27.80
42,Exit long,2025-07-24 09:00:00,Close entry(s) order Long,45030,1,22507.5,5.6,0.02,21.55,0.10,-0.95,0.00,2785.2,27.85
42,Entry long,2025-07-24 07:00:00,Long,45015,1,22507.5,5.6,0.02,21.55,0.10,-0.95,0.00,2785.2,27.85
43,Exit short,2025-07-28 07:00:00,Close entry(s) order Short,45030,1,22582.5,65.6,0.29,81.55,0.36,-0.95,0.00,2850.8,28.51
43,Entry short,2025-07-28 03:00:00,Short,45165,1,22582.5,65.6,0.29,81.55,0.36,-0.95,0.00,2850.8,28.51
